Vendor_ID,Vendor_Name,SKU_ID,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,Quantity_Ordered,Quantity_Received,Unit_Price,Defect_Quantity,Payment_Terms
VEN_0055,Quality Issues Pvt,SKU_COI_0028,2023-07-19,2023-08-04,2023-08-04,975,975,2544.22,17,Net 45
VEN_0056,Late Delivery Inc,SKU_SHE_0019,2022-01-25,2022-02-06,2022-02-14,863,863,2175.16,3,Net 45
VEN_0057,Quick Steel Industries,SKU_COI_0032,2022-04-16,2022-05-04,2022-05-03,978,978,2307.53,2,Net 45
VEN_0058,Premium Steel Co,SKU_FAS_0046,2022-07-29,2022-08-17,2022-08-15,214,214,189.92,0,Net 30
VEN_0059,Late Delivery Inc,SKU_SHE_0026,2022-03-12,2022-03-22,2022-03-25,592,592,2066.11,16,Net 15
VEN_0060,Quick Steel Industries,SKU_COI_0031,2023-08-22,2023-09-06,2023-09-05,458,458,1816.33,0,Net 30
VEN_0061,Reliable Metals Ltd,SKU_SHE_0024,2023-10-25,2023-11-03,2023-11-03,870,870,2159.45,19,Net 45
VEN_0062,Steel Suppliers India,SKU_SHE_0022,2022-12-16,2023-01-05,2023-01-03,954,954,1533.21,9,Net 30
VEN_0063,Reliable Metals Ltd,SKU_FAS_0049,2023-07-15,2023-07-31,2023-07-29,368,368,186.76,8,Net 15
VEN_0064,Late Delivery Inc,SKU_PIP_0005,2022-11-08,2022-11-21,2022-11-22,368,368,1459.67,20,Net 60
VEN_0065,Quick Steel Industries,SKU_COI_0028,2022-10-03,2022-10-11,2022-10-11,526,526,2328.25,11,Net 30
VEN_0066,Delayed Suppliers Pvt,SKU_COI_0037,2022-10-31,2022-11-18,2022-11-17,105,105,2939.16,0,Immediate
VEN_0067,Defective Materials Co,SKU_COI_0032,2022-06-03,2022-06-11,2022-06-09,903,903,2091.14,96,Net 60
VEN_0068,Slow Logistics Ltd,SKU_PIP_0010,2023-02-13,2023-02-24,2023-02-22,642,642,1517.57,1,Immediate
VEN_0069,Steel Suppliers India,SKU_PIP_0004,2022-11-20,2022-12-06,2022-12-04,129,129,1143.52,2,Net 15
VEN_0070,Late Delivery Inc,SKU_SHE_0016,2023-06-18,2023-06-29,2023-07-13,602,602,2627.42,11,Net 15
VEN_0071,Late Delivery Inc,SKU_PIP_0001,2022-09-22,2022-09-30,2022-09-30,251,251,993.52,2,Net 60
VEN_0072,Delayed Suppliers Pvt,SKU_SHE_0023,2023-01-02,2023-01-09,2023-01-07,395,395,1381.27,12,Net 15
VEN_0073,Delayed Suppliers Pvt,SKU_COI_0028,2023-03-29,2023-04-05,2023-04-04,718,718,2291.36,34,Net 15
VEN_0074,Mumbai Metal Works,SKU_FAS_0048,2022-01-12,2022-01-19,2022-01-18,618,618,245.13,0,Net 60
VEN_0075,Quick Steel Industries,SKU_FIT_0044,2023-11-14,2023-12-03,2023-12-02,994,994,869.19,24,Immediate
VEN_0076,Quality Issues Pvt,SKU_COI_0029,2022-10-31,2022-11-08,2022-11-07,727,727,3137.78,23,Net 60
VEN_0077,Delayed Suppliers Pvt,SKU_SHE_0026,2023-08-12,2023-08-30,2023-09-01,456,456,2139.88,8,Net 45
VEN_0078,Reliable Metals Ltd,SKU_FIT_0045,2023-10-31,2023-11-09,2023-11-07,470,470,1072.4,11,Net 30
VEN_0079,Late Delivery Inc,SKU_FAS_0048,2023-08-02,2023-08-21,2023-08-21,474,474,251.61,22,Immediate
VEN_0080,Quick Steel Industries,SKU_SHE_0023,2023-01-10,2023-01-22,2023-01-22,146,146,1393.33,3,Net 45
VEN_0081,Mumbai Metal Works,SKU_PIP_0005,2022-04-03,2022-04-10,2022-04-09,717,717,1407.01,14,Immediate
VEN_0082,Slow Logistics Ltd,SKU_FAS_0049,2022-06-08,2022-06-26,2022-06-25,702,702,200.74,9,Net 45
VEN_0083,Reliable Metals Ltd,SKU_FIT_0040,2022-07-12,2022-07-29,2022-07-27,622,622,930.93,3,Immediate
VEN_0084,Delayed Suppliers Pvt,SKU_SHE_0022,2022-12-28,2023-01-05,2023-01-04,109,109,1795.1,0,Net 60
VEN_0085,Defective Materials Co,SKU_FIT_0043,2022-08-01,2022-08-20,2022-08-26,671,671,496.54,14,Net 15
VEN_0086,Quality Issues Pvt,SKU_PIP_0002,2023-11-11,2023-11-23,2023-11-21,969,969,1009.23,25,Net 45
VEN_0087,Quick Steel Industries,SKU_PIP_0010,2023-01-11,2023-01-28,2023-01-26,295,295,1373.26,6,Net 45
VEN_0088,Late Delivery Inc,SKU_FIT_0041,2023-01-24,2023-02-01,2023-01-31,778,778,818.43,34,Net 15
VEN_0089,Late Delivery Inc,SKU_FIT_0043,2022-01-27,2022-02-03,2022-02-08,161,161,472.12,2,Immediate
VEN_0090,Quick Steel Industries,SKU_COI_0030,2023-03-07,2023-03-16,2023-03-14,998,998,2902.84,16,Net 30
VEN_0091,Reliable Metals Ltd,SKU_FIT_0045,2022-03-05,2022-03-16,2022-03-15,942,942,990.45,34,Net 15
VEN_0092,Premium Steel Co,SKU_FIT_0038,2023-12-18,2024-01-03,2024-01-02,379,379,887.85,0,Net 45
VEN_0093,Late Delivery Inc,SKU_PIP_0006,2022-07-13,2022-07-24,2022-07-24,468,468,1850.1,27,Net 15
VEN_0094,Late Delivery Inc,SKU_COI_0033,2023-01-27,2023-02-14,2023-02-13,216,216,2155.01,11,Net 15
VEN_0095,Late Delivery Inc,SKU_PIP_0003,2023-06-02,2023-06-13,2023-06-13,998,998,1107.17,2,Net 45
VEN_0096,Steel Suppliers India,SKU_SHE_0022,2023-08-28,2023-09-06,2023-09-04,694,694,1534.04,5,Net 15
VEN_0097,Reliable Metals Ltd,SKU_PIP_0002,2023-11-18,2023-12-06,2023-12-06,503,503,1036.72,6,Net 30
VEN_0098,Reliable Metals Ltd,SKU_PIP_0014,2022-10-03,2022-10-21,2022-10-20,323,323,1858.51,3,Net 45
VEN_0099,Slow Logistics Ltd,SKU_FAS_0049,2023-07-01,2023-07-21,2023-07-23,433,433,198.04,7,Immediate
VEN_0100,Reliable Metals Ltd,SKU_FIT_0043,2023-05-10,2023-05-17,2023-05-17,241,241,455.67,1,Net 30
VEN_0101,Quality Issues Pvt,SKU_SHE_0024,2023-07-27,2023-08-16,2023-08-14,841,841,2090.13,35,Net 45
VEN_0102,Quick Steel Industries,SKU_PIP_0006,2022-11-03,2022-11-13,2022-11-11,494,494,1778.94,11,Net 45
VEN_0103,Mumbai Metal Works,SKU_FAS_0048,2023-09-14,2023-09-25,2023-10-03,924,924,250.07,15,Immediate
VEN_0104,Premium Steel Co,SKU_FIT_0044,2023-03-24,2023-04-13,2023-04-13,629,629,922.85,4,Net 30
VEN_0105,Premium Steel Co,SKU_PIP_0008,2023-07-04,2023-07-14,2023-07-14,316,316,1645.84,2,Net 15
VEN_0106,Defective Materials Co,SKU_PIP_0007,2022-11-28,2022-12-09,2022-12-08,326,326,1060.72,30,Immediate
VEN_0107,Premium Steel Co,SKU_PIP_0010,2022-09-14,2022-09-21,2022-09-19,300,300,1536.38,0,Net 30
VEN_0108,Mumbai Metal Works,SKU_PIP_0011,2022-09-24,2022-10-08,2022-10-07,792,792,1122.37,23,Net 45
VEN_0109,Steel Suppliers India,SKU_FIT_0043,2022-10-17,2022-11-01,2022-11-01,426,426,509.8,3,Immediate
VEN_0110,Quick Steel Industries,SKU_COI_0036,2022-07-28,2022-08-08,2022-08-07,208,208,2606.59,0,Net 30
VEN_0111,Reliable Metals Ltd,SKU_SHE_0027,2022-09-30,2022-10-15,2022-10-13,579,579,1557.05,0,Immediate
VEN_0112,Delayed Suppliers Pvt,SKU_PIP_0001,2022-09-18,2022-09-27,2022-10-11,300,300,1020.64,3,Net 30
VEN_0113,Reliable Metals Ltd,SKU_SHE_0025,2022-07-21,2022-07-30,2022-07-29,240,240,1842.29,9,Immediate
VEN_0114,Slow Logistics Ltd,SKU_PIP_0014,2023-12-23,2024-01-06,2024-01-05,264,264,1939.55,7,Net 60
VEN_0115,Quality Issues Pvt,SKU_PIP_0004,2022-08-16,2022-09-04,2022-09-03,345,345,1055.73,6,Immediate
VEN_0116,Premium Steel Co,SKU_SHE_0018,2023-03-18,2023-04-05,2023-04-03,851,851,2074.44,0,Immediate
VEN_0117,Steel Suppliers India,SKU_PIP_0005,2023-09-10,2023-09-22,2023-09-21,368,368,1312.45,6,Net 60
VEN_0118,Quality Issues Pvt,SKU_FAS_0046,2023-09-10,2023-09-21,2023-09-19,472,472,182.05,40,Net 60
VEN_0119,Defective Materials Co,SKU_FAS_0050,2022-03-12,2022-03-27,2022-04-01,751,751,300.33,51,Net 15
VEN_0120,Mumbai Metal Works,SKU_PIP_0008,2023-10-01,2023-10-20,2023-10-18,968,968,1614.0,10,Immediate
VEN_0121,Quality Issues Pvt,SKU_FIT_0039,2023-05-04,2023-05-15,2023-05-15,432,432,754.44,12,Net 45
VEN_0122,Mumbai Metal Works,SKU_SHE_0019,2022-10-15,2022-10-27,2022-10-25,314,314,1998.6,0,Net 30
VEN_0123,Slow Logistics Ltd,SKU_PIP_0002,2022-06-07,2022-06-14,2022-06-20,738,738,976.47,28,Net 60
VEN_0124,Quality Issues Pvt,SKU_COI_0031,2022-03-04,2022-03-17,2022-03-16,885,885,2114.01,70,Immediate
VEN_0125,Quality Issues Pvt,SKU_COI_0029,2023-06-24,2023-07-09,2023-07-07,274,274,3015.51,12,Net 45
VEN_0126,Defective Materials Co,SKU_COI_0032,2023-07-23,2023-08-04,2023-08-03,695,695,1975.42,30,Net 60
VEN_0127,Defective Materials Co,SKU_COI_0034,2022-03-19,2022-03-31,2022-04-12,114,114,2102.25,5,Net 15
VEN_0128,Steel Suppliers India,SKU_FIT_0040,2022-09-10,2022-09-25,2022-09-25,627,627,1087.8,5,Net 30
VEN_0129,Reliable Metals Ltd,SKU_FIT_0044,2022-06-10,2022-06-17,2022-06-19,250,250,900.03,9,Net 45
VEN_0130,Defective Materials Co,SKU_FIT_0045,2022-03-21,2022-04-03,2022-04-17,436,436,949.84,10,Immediate
VEN_0131,Slow Logistics Ltd,SKU_SHE_0020,2022-12-01,2022-12-15,2022-12-14,133,133,2450.31,2,Net 45
VEN_0132,Premium Steel Co,SKU_FAS_0047,2023-08-27,2023-09-10,2023-09-09,301,301,163.27,2,Immediate
VEN_0133,Premium Steel Co,SKU_FIT_0045,2022-12-04,2022-12-11,2022-12-10,165,165,1008.47,0,Net 15
VEN_0134,Mumbai Metal Works,SKU_FIT_0039,2022-11-13,2022-12-03,2022-12-03,813,813,781.44,23,Net 30
VEN_0135,Quick Steel Industries,SKU_PIP_0007,2022-12-20,2022-12-29,2022-12-28,898,898,966.47,16,Immediate
VEN_0136,Late Delivery Inc,SKU_COI_0028,2023-11-25,2023-12-08,2023-12-14,787,787,2419.9,10,Net 30
VEN_0137,Premium Steel Co,SKU_COI_0030,2023-10-19,2023-11-04,2023-11-03,991,991,2543.99,8,Net 30
VEN_0138,Mumbai Metal Works,SKU_COI_0037,2022-07-08,2022-07-22,2022-07-21,136,136,3257.81,3,Net 60
VEN_0139,Defective Materials Co,SKU_FIT_0038,2022-03-24,2022-04-11,2022-04-09,686,686,875.82,57,Net 60
VEN_0140,Mumbai Metal Works,SKU_PIP_0011,2023-01-30,2023-02-13,2023-02-12,344,344,1141.5,1,Net 45
VEN_0141,Slow Logistics Ltd,SKU_FIT_0039,2022-01-08,2022-01-26,2022-01-25,862,862,775.03,5,Immediate
VEN_0142,Delayed Suppliers Pvt,SKU_COI_0032,2023-09-13,2023-09-20,2023-09-23,206,206,2304.04,3,Net 15
VEN_0143,Slow Logistics Ltd,SKU_FIT_0038,2022-07-08,2022-07-15,2022-07-15,785,785,904.37,17,Net 60
VEN_0144,Slow Logistics Ltd,SKU_COI_0035,2022-02-08,2022-02-26,2022-02-24,947,947,2581.05,33,Net 15
VEN_0145,Reliable Metals Ltd,SKU_SHE_0024,2022-06-13,2022-06-21,2022-06-20,851,851,2435.56,27,Net 15
VEN_0146,Defective Materials Co,SKU_SHE_0018,2022-07-02,2022-07-13,2022-07-13,818,818,2071.86,44,Immediate
VEN_0147,Reliable Metals Ltd,SKU_PIP_0002,2023-05-18,2023-05-27,2023-06-06,409,409,1001.26,1,Net 60
VEN_0148,Late Delivery Inc,SKU_FIT_0039,2023-11-05,2023-11-22,2023-11-22,324,324,647.43,17,Immediate
VEN_0149,Slow Logistics Ltd,SKU_PIP_0015,2022-04-05,2022-04-25,2022-04-24,180,180,1278.57,3,Net 30
VEN_0150,Slow Logistics Ltd,SKU_FIT_0039,2022-10-15,2022-11-02,2022-11-02,977,977,704.01,37,Net 30
VEN_0151,Steel Suppliers India,SKU_FAS_0049,2023-04-29,2023-05-06,2023-05-06,197,197,192.39,1,Immediate
VEN_0152,Delayed Suppliers Pvt,SKU_FAS_0047,2022-01-23,2022-02-07,2022-02-09,900,900,159.77,20,Net 60
VEN_0153,Defective Materials Co,SKU_PIP_0014,2022-11-18,2022-12-01,2022-11-30,542,542,1999.78,6,Net 60
VEN_0154,Mumbai Metal Works,SKU_COI_0033,2023-04-09,2023-04-22,2023-04-22,482,482,2054.24,12,Net 45
VEN_0155,Slow Logistics Ltd,SKU_FIT_0038,2023-05-04,2023-05-22,2023-05-21,283,283,852.18,7,Immediate
VEN_0156,Reliable Metals Ltd,SKU_COI_0030,2022-03-25,2022-04-14,2022-04-14,944,944,2969.44,17,Immediate
VEN_0157,Reliable Metals Ltd,SKU_PIP_0014,2023-11-21,2023-12-08,2023-12-12,807,807,1780.23,15,Net 15
VEN_0158,Delayed Suppliers Pvt,SKU_FAS_0048,2022-02-21,2022-03-07,2022-03-12,863,863,266.45,15,Net 30
VEN_0159,Defective Materials Co,SKU_COI_0035,2023-04-11,2023-04-29,2023-04-28,478,478,2568.59,1,Net 30
VEN_0160,Mumbai Metal Works,SKU_PIP_0008,2022-08-02,2022-08-17,2022-08-17,556,556,1570.88,7,Net 60
VEN_0161,Quick Steel Industries,SKU_PIP_0015,2023-11-21,2023-12-04,2023-12-03,779,779,1194.34,10,Net 45
VEN_0162,Steel Suppliers India,SKU_PIP_0007,2023-01-09,2023-01-23,2023-01-23,918,918,943.31,1,Net 30
VEN_0163,Defective Materials Co,SKU_PIP_0013,2022-05-26,2022-06-06,2022-06-05,619,619,1590.47,6,Immediate
VEN_0164,Quick Steel Industries,SKU_SHE_0021,2022-06-04,2022-06-13,2022-06-12,534,534,1473.85,9,Net 60
VEN_0165,Quality Issues Pvt,SKU_FAS_0048,2023-03-29,2023-04-08,2023-04-08,947,947,244.54,15,Net 15
VEN_0166,Reliable Metals Ltd,SKU_SHE_0023,2023-07-15,2023-07-27,2023-07-27,933,933,1577.23,33,Net 15
VEN_0167,Delayed Suppliers Pvt,SKU_COI_0037,2022-06-10,2022-06-29,2022-06-29,205,205,3390.51,7,Net 15
VEN_0168,Slow Logistics Ltd,SKU_SHE_0022,2022-01-02,2022-01-17,2022-01-19,932,932,1650.14,9,Net 15
VEN_0169,Slow Logistics Ltd,SKU_SHE_0027,2022-06-24,2022-07-11,2022-07-09,527,527,1579.32,16,Net 30
VEN_0170,Defective Materials Co,SKU_SHE_0027,2023-01-26,2023-02-13,2023-02-13,911,911,1707.92,36,Net 30
VEN_0171,Defective Materials Co,SKU_SHE_0020,2022-07-21,2022-08-01,2022-07-30,995,995,2391.93,111,Net 15
VEN_0172,Quality Issues Pvt,SKU_COI_0034,2023-06-05,2023-06-13,2023-06-12,377,377,2073.75,6,Net 30
VEN_0173,Reliable Metals Ltd,SKU_PIP_0013,2022-01-16,2022-01-23,2022-01-23,425,425,1748.67,1,Net 15
VEN_0174,Defective Materials Co,SKU_SHE_0026,2023-01-31,2023-02-20,2023-03-03,909,909,2135.63,84,Net 30
VEN_0175,Quality Issues Pvt,SKU_SHE_0027,2023-09-20,2023-09-27,2023-09-28,601,601,1604.43,25,Net 30
VEN_0176,Quality Issues Pvt,SKU_SHE_0020,2023-02-13,2023-03-04,2023-03-12,936,936,2705.94,15,Net 60
VEN_0177,Delayed Suppliers Pvt,SKU_PIP_0011,2022-11-29,2022-12-17,2022-12-15,710,710,1209.59,27,Immediate
VEN_0178,Delayed Suppliers Pvt,SKU_FIT_0038,2022-09-28,2022-10-15,2022-10-18,385,385,817.52,19,Net 30
VEN_0179,Mumbai Metal Works,SKU_FIT_0044,2022-12-17,2023-01-05,2023-01-04,108,108,864.41,2,Net 15
VEN_0180,Slow Logistics Ltd,SKU_FIT_0040,2022-04-18,2022-04-29,2022-05-06,944,944,940.19,20,Net 30
VEN_0181,Delayed Suppliers Pvt,SKU_FIT_0039,2023-08-25,2023-09-10,2023-09-19,562,562,685.94,15,Immediate
VEN_0182,Quality Issues Pvt,SKU_PIP_0013,2023-02-12,2023-03-04,2023-03-04,719,719,1522.87,56,Immediate
VEN_0183,Reliable Metals Ltd,SKU_SHE_0023,2023-11-01,2023-11-21,2023-11-20,396,396,1498.98,2,Net 30
VEN_0184,Mumbai Metal Works,SKU_SHE_0016,2022-12-10,2022-12-30,2023-01-13,386,386,2619.4,5,Immediate
VEN_0185,Slow Logistics Ltd,SKU_SHE_0025,2023-05-23,2023-06-07,2023-06-06,985,985,1683.73,14,Immediate
VEN_0186,Late Delivery Inc,SKU_COI_0030,2022-04-30,2022-05-09,2022-05-17,260,260,2671.44,0,Net 30
VEN_0187,Reliable Metals Ltd,SKU_FIT_0038,2023-02-04,2023-02-22,2023-02-22,708,708,804.53,15,Immediate
VEN_0188,Premium Steel Co,SKU_FIT_0043,2023-07-13,2023-07-22,2023-07-20,999,999,534.02,8,Net 30
VEN_0189,Premium Steel Co,SKU_PIP_0010,2022-08-02,2022-08-17,2022-08-17,518,518,1364.96,4,Net 15
VEN_0190,Late Delivery Inc,SKU_PIP_0005,2022-08-19,2022-09-03,2022-09-08,683,683,1479.12,38,Net 60
VEN_0191,Defective Materials Co,SKU_SHE_0024,2022-06-01,2022-06-15,2022-06-13,649,649,2095.55,21,Net 60
VEN_0192,Steel Suppliers India,SKU_COI_0034,2022-12-17,2022-12-25,2022-12-24,142,142,2047.75,1,Immediate
VEN_0193,Steel Suppliers India,SKU_PIP_0004,2022-10-07,2022-10-17,2022-10-16,639,639,1039.72,1,Net 60
VEN_0194,Delayed Suppliers Pvt,SKU_COI_0035,2022-12-25,2023-01-06,2023-01-05,449,449,2379.2,4,Net 15
VEN_0195,Reliable Metals Ltd,SKU_FIT_0043,2023-09-18,2023-09-28,2023-09-28,784,784,523.24,31,Net 15
VEN_0196,Mumbai Metal Works,SKU_SHE_0022,2023-01-11,2023-01-25,2023-01-24,903,903,1709.78,9,Net 60
VEN_0197,Delayed Suppliers Pvt,SKU_COI_0034,2022-11-08,2022-11-22,2022-11-22,572,572,2189.43,19,Net 30
VEN_0198,Delayed Suppliers Pvt,SKU_SHE_0018,2023-06-08,2023-06-21,2023-06-21,444,444,2092.16,7,Net 15
VEN_0199,Delayed Suppliers Pvt,SKU_COI_0029,2023-09-06,2023-09-21,2023-09-21,241,241,2773.32,0,Net 60
VEN_0200,Late Delivery Inc,SKU_FAS_0047,2023-11-04,2023-11-17,2023-11-16,661,661,168.76,24,Net 30
VEN_0201,Premium Steel Co,SKU_SHE_0026,2022-03-22,2022-04-03,2022-04-03,531,531,1944.32,1,Net 60
VEN_0202,Late Delivery Inc,SKU_COI_0029,2023-11-14,2023-11-25,2023-11-25,987,987,3338.39,0,Net 45
VEN_0203,Quality Issues Pvt,SKU_SHE_0018,2022-10-25,2022-11-03,2022-11-01,102,102,2038.35,6,Net 45
VEN_0204,Delayed Suppliers Pvt,SKU_FIT_0040,2022-10-06,2022-10-23,2022-10-27,854,854,995.29,2,Immediate
VEN_0205,Defective Materials Co,SKU_SHE_0024,2023-04-14,2023-04-29,2023-05-04,819,819,2137.97,6,Net 30
VEN_0206,Quality Issues Pvt,SKU_FAS_0049,2023-07-29,2023-08-17,2023-08-17,324,324,200.71,16,Immediate
VEN_0207,Delayed Suppliers Pvt,SKU_COI_0028,2023-11-16,2023-12-02,2023-12-08,126,126,2397.08,5,Net 45
VEN_0208,Premium Steel Co,SKU_PIP_0003,2022-07-09,2022-07-27,2022-07-26,824,824,1169.04,0,Net 45
VEN_0209,Reliable Metals Ltd,SKU_COI_0029,2022-04-22,2022-05-04,2022-05-02,598,598,3126.56,22,Immediate
VEN_0210,Delayed Suppliers Pvt,SKU_PIP_0012,2022-07-22,2022-08-01,2022-07-30,484,484,1399.06,7,Net 15
