SKU_ID,Product_Name,Category,Opening_Stock,Closing_Stock,Reorder_Point,Safety_Stock,Unit_Cost,Warehouse_Location,Date
SKU_PIP_0014,Pipe Type-N,Pipes,1290,1097,320,128,1903,Mumbai_Central,2022-10-01
SKU_COI_0028,Coil Type-A,Coils,899,755,232,92,2430,Navi_Mumbai,2022-05-01
SKU_FIT_0045,Fitting Type-H,Fittings,551,453,337,134,1037,Thane,2022-10-01
SKU_PIP_0005,Pipe Type-E,Pipes,544,27,151,60,1383,Navi_Mumbai,2022-12-01
SKU_FAS_0047,Fastener Type-B,Fasteners,497,474,427,170,158,Thane,2022-05-01
SKU_PIP_0015,Pipe Type-O,Pipes,427,519,405,162,1216,Navi_Mumbai,2023-08-01
SKU_FIT_0040,Fitting Type-C,Fittings,484,431,413,165,989,Thane,2023-03-01
SKU_PIP_0015,Pipe Type-O,Pipes,801,88,405,162,1216,Thane,2022-07-01
SKU_PIP_0015,Pipe Type-O,Pipes,703,723,405,162,1216,Navi_Mumbai,2023-07-01
SKU_PIP_0001,Pipe Type-A,Pipes,1212,1242,448,179,1102,Pune,2023-12-01
SKU_PIP_0002,Pipe Type-B,Pipes,170,223,112,44,1035,Pune,2023-08-01
SKU_PIP_0011,Pipe Type-K,Pipes,336,22,124,49,1199,Thane,2022-04-01
SKU_COI_0031,Coil Type-D,Coils,481,551,113,45,2014,Pune,2023-06-01
SKU_FAS_0048,Fastener Type-C,Fasteners,477,561,158,63,270,Navi_Mumbai,2022-08-01
SKU_SHE_0016,Sheet Type-A,Sheets,177,97,390,156,2579,Thane,2022-08-01
SKU_PIP_0007,Pipe Type-G,Pipes,316,415,133,53,1045,Thane,2023-08-01
SKU_FAS_0047,Fastener Type-B,Fasteners,260,93,427,170,158,Mumbai_Central,2022-12-01
SKU_PIP_0014,Pipe Type-N,Pipes,533,462,320,128,1903,Pune,2023-09-01
SKU_FIT_0042,Fitting Type-E,Fittings,844,844,268,107,900,Thane,2022-05-01
SKU_FAS_0049,Fastener Type-D,Fasteners,632,588,378,151,196,Navi_Mumbai,2023-09-01
SKU_FIT_0042,Fitting Type-E,Fittings,832,838,268,107,900,Thane,2023-06-01
SKU_SHE_0016,Sheet Type-A,Sheets,801,829,390,156,2579,Pune,2023-06-01
SKU_PIP_0013,Pipe Type-M,Pipes,791,41,120,48,1603,Navi_Mumbai,2023-10-01
SKU_PIP_0007,Pipe Type-G,Pipes,1267,1302,133,53,1045,Thane,2022-12-01
SKU_PIP_0009,Pipe Type-I,Pipes,686,577,401,160,1768,Thane,2023-07-01
SKU_PIP_0004,Pipe Type-D,Pipes,452,1780,445,178,1057,Navi_Mumbai,2023-03-01
SKU_PIP_0008,Pipe Type-H,Pipes,812,142,420,168,1595,Thane,2022-01-01
SKU_FIT_0042,Fitting Type-E,Fittings,503,465,268,107,900,Thane,2022-11-01
SKU_PIP_0003,Pipe Type-C,Pipes,659,480,448,179,1152,Pune,2022-04-01
SKU_SHE_0019,Sheet Type-D,Sheets,619,567,446,178,2051,Thane,2022-07-01
SKU_SHE_0023,Sheet Type-H,Sheets,851,759,295,118,1440,Pune,2023-10-01
SKU_SHE_0021,Sheet Type-F,Sheets,1225,1237,413,165,1564,Pune,2022-11-01
SKU_SHE_0018,Sheet Type-C,Sheets,515,19,200,80,2184,Thane,2023-06-01
SKU_PIP_0006,Pipe Type-F,Pipes,741,787,109,43,1920,Pune,2023-04-01
SKU_FAS_0050,Fastener Type-E,Fasteners,723,702,230,92,280,Navi_Mumbai,2023-04-01
SKU_PIP_0003,Pipe Type-C,Pipes,729,2240,448,179,1152,Pune,2022-07-01
SKU_PIP_0004,Pipe Type-D,Pipes,806,175,445,178,1057,Navi_Mumbai,2022-07-01
SKU_SHE_0018,Sheet Type-C,Sheets,988,1079,200,80,2184,Thane,2023-11-01
SKU_PIP_0008,Pipe Type-H,Pipes,246,218,420,168,1595,Mumbai_Central,2023-05-01
SKU_PIP_0003,Pipe Type-C,Pipes,501,481,448,179,1152,Mumbai_Central,2022-09-01
SKU_FIT_0040,Fitting Type-C,Fittings,813,154,413,165,989,Pune,2022-07-01
SKU_COI_0036,Coil Type-I,Coils,533,581,135,54,2836,Navi_Mumbai,2022-11-01
SKU_FAS_0049,Fastener Type-D,Fasteners,906,835,378,151,196,Thane,2022-12-01
SKU_PIP_0010,Pipe Type-J,Pipes,563,29,218,87,1470,Navi_Mumbai,2022-03-01
SKU_COI_0036,Coil Type-I,Coils,645,589,135,54,2836,Pune,2022-05-01
SKU_PIP_0005,Pipe Type-E,Pipes,389,332,151,60,1383,Navi_Mumbai,2023-06-01
SKU_SHE_0023,Sheet Type-H,Sheets,756,556,295,118,1440,Navi_Mumbai,2023-09-01
SKU_FIT_0043,Fitting Type-F,Fittings,880,857,465,186,506,Thane,2022-11-01
SKU_FIT_0045,Fitting Type-H,Fittings,970,115,337,134,1037,Pune,2023-05-01
SKU_PIP_0008,Pipe Type-H,Pipes,204,92,420,168,1595,Mumbai_Central,2022-07-01
SKU_FIT_0043,Fitting Type-F,Fittings,503,341,465,186,506,Thane,2023-03-01
SKU_SHE_0026,Sheet Type-K,Sheets,670,733,166,66,2046,Thane,2023-04-01
SKU_SHE_0022,Sheet Type-G,Sheets,581,536,227,90,1646,Thane,2022-10-01
SKU_SHE_0020,Sheet Type-E,Sheets,324,476,119,47,2480,Navi_Mumbai,2022-06-01
SKU_PIP_0012,Pipe Type-L,Pipes,1298,1227,197,78,1356,Thane,2023-11-01
SKU_SHE_0016,Sheet Type-A,Sheets,703,632,390,156,2579,Thane,2023-10-01
SKU_FIT_0042,Fitting Type-E,Fittings,409,326,268,107,900,Navi_Mumbai,2023-12-01
SKU_COI_0028,Coil Type-A,Coils,995,885,232,92,2430,Navi_Mumbai,2023-11-01
SKU_SHE_0023,Sheet Type-H,Sheets,529,404,295,118,1440,Thane,2022-07-01
SKU_FIT_0038,Fitting Type-A,Fittings,569,440,109,43,859,Navi_Mumbai,2023-10-01
SKU_PIP_0013,Pipe Type-M,Pipes,804,611,120,48,1603,Mumbai_Central,2022-05-01
SKU_PIP_0006,Pipe Type-F,Pipes,660,654,109,43,1920,Mumbai_Central,2022-04-01
SKU_SHE_0025,Sheet Type-J,Sheets,816,767,225,90,1830,Navi_Mumbai,2022-07-01
SKU_PIP_0006,Pipe Type-F,Pipes,559,542,109,43,1920,Pune,2023-09-01
SKU_COI_0031,Coil Type-D,Coils,365,309,113,45,2014,Pune,2023-04-01
SKU_PIP_0004,Pipe Type-D,Pipes,1049,1105,445,178,1057,Navi_Mumbai,2022-10-01
SKU_COI_0037,Coil Type-J,Coils,319,417,273,109,3102,Navi_Mumbai,2023-06-01
SKU_COI_0031,Coil Type-D,Coils,349,316,113,45,2014,Navi_Mumbai,2023-08-01
SKU_FAS_0046,Fastener Type-A,Fasteners,1150,1101,343,137,187,Mumbai_Central,2023-10-01
SKU_FIT_0038,Fitting Type-A,Fittings,695,572,109,43,859,Navi_Mumbai,2023-09-01
SKU_FAS_0049,Fastener Type-D,Fasteners,365,109,378,151,196,Mumbai_Central,2023-03-01
SKU_FIT_0040,Fitting Type-C,Fittings,574,77,413,165,989,Navi_Mumbai,2022-01-01
SKU_SHE_0016,Sheet Type-A,Sheets,552,512,390,156,2579,Pune,2022-12-01
SKU_FIT_0038,Fitting Type-A,Fittings,659,563,109,43,859,Thane,2022-02-01
SKU_PIP_0007,Pipe Type-G,Pipes,891,972,133,53,1045,Navi_Mumbai,2023-01-01
SKU_FIT_0042,Fitting Type-E,Fittings,215,19,268,107,900,Thane,2022-08-01
SKU_SHE_0026,Sheet Type-K,Sheets,488,485,166,66,2046,Thane,2023-10-01
SKU_FIT_0044,Fitting Type-G,Fittings,731,745,285,114,921,Mumbai_Central,2022-06-01
SKU_PIP_0011,Pipe Type-K,Pipes,571,30,124,49,1199,Thane,2022-05-01
SKU_PIP_0007,Pipe Type-G,Pipes,823,665,133,53,1045,Thane,2023-03-01
SKU_COI_0032,Coil Type-E,Coils,272,178,457,182,2186,Mumbai_Central,2022-02-01
SKU_PIP_0009,Pipe Type-I,Pipes,604,513,401,160,1768,Mumbai_Central,2022-01-01
SKU_SHE_0023,Sheet Type-H,Sheets,578,1770,295,118,1440,Mumbai_Central,2022-06-01
SKU_FIT_0038,Fitting Type-A,Fittings,897,436,109,43,859,Thane,2023-04-01
SKU_FIT_0042,Fitting Type-E,Fittings,799,818,268,107,900,Navi_Mumbai,2023-08-01
SKU_FIT_0045,Fitting Type-H,Fittings,376,323,337,134,1037,Mumbai_Central,2023-02-01
SKU_SHE_0018,Sheet Type-C,Sheets,528,392,200,80,2184,Thane,2022-06-01
SKU_FAS_0050,Fastener Type-E,Fasteners,1010,1043,230,92,280,Pune,2022-11-01
SKU_PIP_0014,Pipe Type-N,Pipes,209,203,320,128,1903,Thane,2023-04-01
SKU_PIP_0006,Pipe Type-F,Pipes,233,25,109,43,1920,Pune,2022-09-01
SKU_COI_0029,Coil Type-B,Coils,1220,1058,254,101,3070,Navi_Mumbai,2023-11-01
SKU_SHE_0027,Sheet Type-L,Sheets,254,448,112,44,1634,Pune,2022-07-01
SKU_PIP_0012,Pipe Type-L,Pipes,299,31,197,78,1356,Mumbai_Central,2022-11-01
SKU_FAS_0048,Fastener Type-C,Fasteners,763,585,158,63,270,Mumbai_Central,2023-08-01
SKU_PIP_0013,Pipe Type-M,Pipes,658,541,120,48,1603,Thane,2023-09-01
SKU_PIP_0010,Pipe Type-J,Pipes,479,479,218,87,1470,Thane,2023-06-01
SKU_FIT_0044,Fitting Type-G,Fittings,899,852,285,114,921,Mumbai_Central,2023-04-01
SKU_SHE_0026,Sheet Type-K,Sheets,780,28,166,66,2046,Mumbai_Central,2023-11-01
SKU_SHE_0027,Sheet Type-L,Sheets,640,574,112,44,1634,Pune,2023-08-01
SKU_SHE_0020,Sheet Type-E,Sheets,1089,1048,119,47,2480,Navi_Mumbai,2023-11-01
SKU_SHE_0020,Sheet Type-E,Sheets,840,919,119,47,2480,Thane,2023-04-01
SKU_FIT_0039,Fitting Type-B,Fittings,652,573,125,50,716,Thane,2023-02-01
SKU_FAS_0046,Fastener Type-A,Fasteners,366,344,343,137,187,Navi_Mumbai,2023-06-01
SKU_SHE_0027,Sheet Type-L,Sheets,300,127,112,44,1634,Mumbai_Central,2022-03-01
SKU_SHE_0017,Sheet Type-B,Sheets,313,278,257,102,2017,Mumbai_Central,2022-11-01
SKU_SHE_0027,Sheet Type-L,Sheets,597,2,112,44,1634,Mumbai_Central,2023-01-01
SKU_COI_0032,Coil Type-E,Coils,579,425,457,182,2186,Thane,2023-12-01
SKU_SHE_0023,Sheet Type-H,Sheets,883,883,295,118,1440,Mumbai_Central,2022-05-01
SKU_COI_0030,Coil Type-C,Coils,412,1204,301,120,2737,Mumbai_Central,2023-10-01
SKU_COI_0028,Coil Type-A,Coils,589,482,232,92,2430,Pune,2023-07-01
SKU_SHE_0025,Sheet Type-J,Sheets,422,498,225,90,1830,Pune,2023-10-01
SKU_SHE_0021,Sheet Type-F,Sheets,504,464,413,165,1564,Pune,2022-02-01
SKU_FAS_0046,Fastener Type-A,Fasteners,885,968,343,137,187,Navi_Mumbai,2023-11-01
SKU_PIP_0014,Pipe Type-N,Pipes,842,843,320,128,1903,Thane,2022-03-01
SKU_COI_0031,Coil Type-D,Coils,333,339,113,45,2014,Navi_Mumbai,2022-09-01
SKU_PIP_0009,Pipe Type-I,Pipes,821,674,401,160,1768,Thane,2023-06-01
SKU_FIT_0039,Fitting Type-B,Fittings,585,500,125,50,716,Mumbai_Central,2023-10-01
SKU_SHE_0019,Sheet Type-D,Sheets,487,512,446,178,2051,Pune,2022-02-01
SKU_PIP_0014,Pipe Type-N,Pipes,977,1033,320,128,1903,Mumbai_Central,2023-05-01
SKU_PIP_0011,Pipe Type-K,Pipes,246,260,124,49,1199,Navi_Mumbai,2023-09-01
SKU_FAS_0047,Fastener Type-B,Fasteners,548,445,427,170,158,Mumbai_Central,2023-01-01
SKU_PIP_0013,Pipe Type-M,Pipes,522,362,120,48,1603,Thane,2023-07-01
SKU_FIT_0045,Fitting Type-H,Fittings,373,340,337,134,1037,Navi_Mumbai,2022-11-01
SKU_FIT_0039,Fitting Type-B,Fittings,807,835,125,50,716,Navi_Mumbai,2023-04-01
SKU_FIT_0043,Fitting Type-F,Fittings,289,269,465,186,506,Navi_Mumbai,2023-05-01
SKU_PIP_0012,Pipe Type-L,Pipes,805,893,197,78,1356,Pune,2022-07-01
SKU_PIP_0013,Pipe Type-M,Pipes,362,442,120,48,1603,Mumbai_Central,2022-03-01
SKU_COI_0034,Coil Type-G,Coils,707,158,499,199,2200,Navi_Mumbai,2023-09-01
SKU_PIP_0005,Pipe Type-E,Pipes,705,648,151,60,1383,Thane,2022-01-01
SKU_COI_0037,Coil Type-J,Coils,583,500,273,109,3102,Thane,2023-12-01
SKU_COI_0035,Coil Type-H,Coils,762,710,173,69,2482,Mumbai_Central,2022-03-01
SKU_PIP_0002,Pipe Type-B,Pipes,591,442,112,44,1035,Mumbai_Central,2022-08-01
SKU_COI_0032,Coil Type-E,Coils,724,683,457,182,2186,Thane,2023-07-01
SKU_FIT_0040,Fitting Type-C,Fittings,357,178,413,165,989,Navi_Mumbai,2023-06-01
SKU_PIP_0014,Pipe Type-N,Pipes,419,461,320,128,1903,Navi_Mumbai,2022-08-01
SKU_PIP_0013,Pipe Type-M,Pipes,734,628,120,48,1603,Navi_Mumbai,2022-11-01
SKU_PIP_0009,Pipe Type-I,Pipes,301,149,401,160,1768,Navi_Mumbai,2022-08-01
SKU_SHE_0024,Sheet Type-I,Sheets,478,571,245,98,2249,Mumbai_Central,2022-09-01
SKU_PIP_0008,Pipe Type-H,Pipes,1098,964,420,168,1595,Navi_Mumbai,2022-11-01
SKU_FAS_0048,Fastener Type-C,Fasteners,494,482,158,63,270,Thane,2022-04-01
SKU_PIP_0004,Pipe Type-D,Pipes,825,699,445,178,1057,Mumbai_Central,2023-05-01
SKU_COI_0033,Coil Type-F,Coils,221,1255,251,100,2211,Navi_Mumbai,2023-08-01
SKU_COI_0031,Coil Type-D,Coils,297,387,113,45,2014,Navi_Mumbai,2022-05-01
SKU_COI_0035,Coil Type-H,Coils,497,386,173,69,2482,Pune,2022-11-01
SKU_PIP_0009,Pipe Type-I,Pipes,548,66,401,160,1768,Thane,2023-05-01
SKU_FIT_0044,Fitting Type-G,Fittings,498,563,285,114,921,Thane,2022-08-01
SKU_PIP_0013,Pipe Type-M,Pipes,925,841,120,48,1603,Pune,2022-09-01
SKU_FIT_0042,Fitting Type-E,Fittings,640,525,268,107,900,Pune,2023-02-01
SKU_SHE_0021,Sheet Type-F,Sheets,555,622,413,165,1564,Pune,2023-06-01
SKU_COI_0035,Coil Type-H,Coils,223,1038,173,69,2482,Mumbai_Central,2023-07-01
SKU_SHE_0018,Sheet Type-C,Sheets,1101,1156,200,80,2184,Thane,2023-10-01
SKU_SHE_0022,Sheet Type-G,Sheets,571,504,227,90,1646,Mumbai_Central,2022-03-01
SKU_COI_0035,Coil Type-H,Coils,354,334,173,69,2482,Pune,2023-03-01
SKU_COI_0029,Coil Type-B,Coils,526,510,254,101,3070,Thane,2023-10-01
SKU_PIP_0001,Pipe Type-A,Pipes,763,564,448,179,1102,Pune,2022-11-01
SKU_COI_0036,Coil Type-I,Coils,508,413,135,54,2836,Mumbai_Central,2022-08-01
SKU_SHE_0020,Sheet Type-E,Sheets,573,623,119,47,2480,Thane,2022-07-01
SKU_PIP_0009,Pipe Type-I,Pipes,306,282,401,160,1768,Mumbai_Central,2022-07-01
SKU_PIP_0003,Pipe Type-C,Pipes,999,31,448,179,1152,Navi_Mumbai,2022-12-01
SKU_FIT_0038,Fitting Type-A,Fittings,346,167,109,43,859,Thane,2023-07-01
SKU_FIT_0042,Fitting Type-E,Fittings,986,42,268,107,900,Navi_Mumbai,2023-01-01
SKU_PIP_0012,Pipe Type-L,Pipes,975,856,197,78,1356,Navi_Mumbai,2022-12-01
SKU_COI_0034,Coil Type-G,Coils,381,436,499,199,2200,Thane,2023-05-01
SKU_FIT_0038,Fitting Type-A,Fittings,765,25,109,43,859,Pune,2023-08-01
SKU_COI_0028,Coil Type-A,Coils,1186,5,232,92,2430,Navi_Mumbai,2022-10-01
SKU_FIT_0040,Fitting Type-C,Fittings,837,711,413,165,989,Mumbai_Central,2023-09-01
SKU_COI_0037,Coil Type-J,Coils,1194,1130,273,109,3102,Pune,2023-10-01
SKU_PIP_0010,Pipe Type-J,Pipes,725,533,218,87,1470,Mumbai_Central,2022-05-01
SKU_COI_0033,Coil Type-F,Coils,703,35,251,100,2211,Mumbai_Central,2023-09-01
SKU_COI_0030,Coil Type-C,Coils,791,633,301,120,2737,Pune,2023-04-01
SKU_COI_0030,Coil Type-C,Coils,610,615,301,120,2737,Mumbai_Central,2023-06-01
SKU_FAS_0047,Fastener Type-B,Fasteners,249,2562,427,170,158,Thane,2022-09-01
SKU_FAS_0050,Fastener Type-E,Fasteners,708,63,230,92,280,Pune,2023-03-01
SKU_COI_0033,Coil Type-F,Coils,666,760,251,100,2211,Navi_Mumbai,2023-10-01
SKU_SHE_0018,Sheet Type-C,Sheets,564,551,200,80,2184,Pune,2022-08-01
SKU_FIT_0038,Fitting Type-A,Fittings,912,914,109,43,859,Pune,2022-11-01
SKU_FIT_0039,Fitting Type-B,Fittings,348,194,125,50,716,Thane,2023-11-01
SKU_PIP_0012,Pipe Type-L,Pipes,937,906,197,78,1356,Mumbai_Central,2022-02-01
SKU_SHE_0027,Sheet Type-L,Sheets,828,890,112,44,1634,Pune,2022-08-01
SKU_PIP_0011,Pipe Type-K,Pipes,506,515,124,49,1199,Mumbai_Central,2022-08-01
SKU_COI_0029,Coil Type-B,Coils,1287,1170,254,101,3070,Pune,2022-11-01
SKU_SHE_0024,Sheet Type-I,Sheets,420,11,245,98,2249,Navi_Mumbai,2022-07-01
SKU_FAS_0048,Fastener Type-C,Fasteners,630,727,158,63,270,Thane,2022-09-01
SKU_FIT_0041,Fitting Type-D,Fittings,323,29,421,168,787,Mumbai_Central,2022-08-01
SKU_FIT_0042,Fitting Type-E,Fittings,251,313,268,107,900,Thane,2023-09-01
SKU_FIT_0042,Fitting Type-E,Fittings,694,537,268,107,900,Navi_Mumbai,2022-01-01
SKU_PIP_0013,Pipe Type-M,Pipes,643,457,120,48,1603,Pune,2022-07-01
SKU_SHE_0022,Sheet Type-G,Sheets,553,398,227,90,1646,Thane,2023-04-01
SKU_COI_0033,Coil Type-F,Coils,698,638,251,100,2211,Navi_Mumbai,2022-03-01
SKU_PIP_0004,Pipe Type-D,Pipes,876,827,445,178,1057,Pune,2022-12-01
SKU_PIP_0010,Pipe Type-J,Pipes,957,825,218,87,1470,Pune,2023-04-01
SKU_SHE_0026,Sheet Type-K,Sheets,873,772,166,66,2046,Mumbai_Central,2023-09-01
SKU_PIP_0014,Pipe Type-N,Pipes,1294,1094,320,128,1903,Navi_Mumbai,2023-10-01
SKU_PIP_0006,Pipe Type-F,Pipes,412,470,109,43,1920,Navi_Mumbai,2022-10-01
SKU_FIT_0043,Fitting Type-F,Fittings,919,956,465,186,506,Mumbai_Central,2022-04-01
SKU_SHE_0027,Sheet Type-L,Sheets,530,593,112,44,1634,Pune,2023-09-01
SKU_FIT_0041,Fitting Type-D,Fittings,987,825,421,168,787,Pune,2023-02-01
SKU_SHE_0016,Sheet Type-A,Sheets,718,803,390,156,2579,Mumbai_Central,2023-11-01
SKU_COI_0037,Coil Type-J,Coils,437,330,273,109,3102,Mumbai_Central,2022-04-01
SKU_SHE_0023,Sheet Type-H,Sheets,490,526,295,118,1440,Navi_Mumbai,2023-03-01
SKU_FAS_0050,Fastener Type-E,Fasteners,695,629,230,92,280,Mumbai_Central,2023-06-01
SKU_COI_0037,Coil Type-J,Coils,313,102,273,109,3102,Pune,2022-11-01
SKU_PIP_0014,Pipe Type-N,Pipes,301,307,320,128,1903,Pune,2023-08-01
SKU_SHE_0018,Sheet Type-C,Sheets,889,751,200,80,2184,Thane,2022-02-01
SKU_PIP_0004,Pipe Type-D,Pipes,446,321,445,178,1057,Navi_Mumbai,2022-05-01
SKU_COI_0037,Coil Type-J,Coils,860,771,273,109,3102,Navi_Mumbai,2022-05-01
SKU_PIP_0006,Pipe Type-F,Pipes,804,436,109,43,1920,Navi_Mumbai,2023-07-01
SKU_SHE_0023,Sheet Type-H,Sheets,248,237,295,118,1440,Mumbai_Central,2023-04-01
SKU_COI_0029,Coil Type-B,Coils,603,98,254,101,3070,Thane,2022-02-01
SKU_FIT_0039,Fitting Type-B,Fittings,436,429,125,50,716,Pune,2022-09-01
SKU_PIP_0003,Pipe Type-C,Pipes,705,540,448,179,1152,Mumbai_Central,2023-04-01
SKU_PIP_0006,Pipe Type-F,Pipes,379,338,109,43,1920,Thane,2023-10-01
SKU_COI_0030,Coil Type-C,Coils,339,235,301,120,2737,Thane,2023-09-01
SKU_SHE_0016,Sheet Type-A,Sheets,301,142,390,156,2579,Navi_Mumbai,2023-05-01
SKU_SHE_0016,Sheet Type-A,Sheets,511,551,390,156,2579,Thane,2022-04-01
SKU_PIP_0006,Pipe Type-F,Pipes,324,218,109,43,1920,Thane,2023-08-01
SKU_COI_0037,Coil Type-J,Coils,409,504,273,109,3102,Pune,2023-09-01
SKU_FIT_0044,Fitting Type-G,Fittings,934,855,285,114,921,Thane,2022-10-01
SKU_PIP_0010,Pipe Type-J,Pipes,876,828,218,87,1470,Mumbai_Central,2022-09-01
SKU_SHE_0022,Sheet Type-G,Sheets,419,219,227,90,1646,Pune,2022-11-01
SKU_PIP_0012,Pipe Type-L,Pipes,594,619,197,78,1356,Mumbai_Central,2022-03-01
SKU_FAS_0049,Fastener Type-D,Fasteners,481,374,378,151,196,Navi_Mumbai,2023-06-01
SKU_SHE_0021,Sheet Type-F,Sheets,252,195,413,165,1564,Navi_Mumbai,2022-07-01
SKU_PIP_0015,Pipe Type-O,Pipes,466,375,405,162,1216,Navi_Mumbai,2023-05-01
SKU_FIT_0042,Fitting Type-E,Fittings,1124,1063,268,107,900,Mumbai_Central,2023-10-01
SKU_SHE_0026,Sheet Type-K,Sheets,544,830,166,66,2046,Thane,2023-06-01
SKU_COI_0028,Coil Type-A,Coils,675,562,232,92,2430,Thane,2023-08-01
SKU_COI_0033,Coil Type-F,Coils,256,16,251,100,2211,Mumbai_Central,2022-07-01
SKU_SHE_0024,Sheet Type-I,Sheets,950,833,245,98,2249,Thane,2022-02-01
SKU_SHE_0024,Sheet Type-I,Sheets,1280,1280,245,98,2249,Pune,2023-12-01
SKU_FIT_0039,Fitting Type-B,Fittings,583,18,125,50,716,Thane,2022-03-01
SKU_SHE_0020,Sheet Type-E,Sheets,436,325,119,47,2480,Thane,2022-10-01
SKU_SHE_0025,Sheet Type-J,Sheets,606,608,225,90,1830,Pune,2023-03-01
SKU_COI_0032,Coil Type-E,Coils,861,125,457,182,2186,Navi_Mumbai,2023-09-01
SKU_SHE_0027,Sheet Type-L,Sheets,1103,955,112,44,1634,Navi_Mumbai,2022-11-01
SKU_COI_0035,Coil Type-H,Coils,1088,55,173,69,2482,Mumbai_Central,2023-10-01
SKU_PIP_0013,Pipe Type-M,Pipes,456,313,120,48,1603,Thane,2022-02-01
SKU_PIP_0002,Pipe Type-B,Pipes,545,491,112,44,1035,Thane,2023-04-01
SKU_PIP_0002,Pipe Type-B,Pipes,487,446,112,44,1035,Pune,2022-07-01
SKU_PIP_0011,Pipe Type-K,Pipes,993,496,124,49,1199,Thane,2022-03-01
SKU_SHE_0018,Sheet Type-C,Sheets,549,800,200,80,2184,Mumbai_Central,2023-09-01
SKU_PIP_0006,Pipe Type-F,Pipes,337,320,109,43,1920,Mumbai_Central,2023-05-01
SKU_FAS_0046,Fastener Type-A,Fasteners,414,347,343,137,187,Pune,2023-09-01
SKU_COI_0037,Coil Type-J,Coils,975,885,273,109,3102,Pune,2022-01-01
