Order_ID,SKU_ID,Customer_ID,Order_Date,Quantity_Ordered,Quantity_Delivered,Delivery_Date,Order_Status,Region
ORD_000043,SKU_PIP_0009,CUST_1836,2022-07-18,224,224,2022-07-28,Completed,East
ORD_000044,SKU_FIT_0043,CUST_1610,2023-12-29,293,293,2024-01-09,Completed,Mumbai
ORD_000045,SKU_PIP_0015,CUST_1539,2023-03-28,257,257,2023-04-11,Completed,West
ORD_000046,SKU_PIP_0003,CUST_1214,2023-01-04,135,67,2023-01-08,Pending,North
ORD_000047,SKU_PIP_0012,CUST_1311,2023-04-14,105,105,2023-04-28,Completed,South
ORD_000048,SKU_SHE_0023,CUST_1246,2022-03-25,256,39,2022-03-26,Pending,North
ORD_000049,SKU_FAS_0050,CUST_1037,2022-11-29,254,254,2022-12-03,Completed,West
ORD_000050,SKU_COI_0036,CUST_1468,2022-01-19,158,158,2022-01-30,Completed,West
ORD_000051,SKU_PIP_0004,CUST_1507,2023-06-30,206,206,2023-07-12,Completed,South
ORD_000052,SKU_FIT_0041,CUST_1973,2022-08-19,209,209,2022-08-31,Completed,East
ORD_000053,SKU_SHE_0021,CUST_1392,2022-07-12,119,0,,Cancelled,Mumbai
ORD_000054,SKU_COI_0030,CUST_1725,2022-02-18,58,58,2022-03-02,Completed,North
ORD_000055,SKU_COI_0031,CUST_1820,2023-03-21,89,89,2023-03-26,Completed,West
ORD_000056,SKU_FAS_0050,CUST_1673,2023-10-15,165,165,2023-10-28,Completed,North
ORD_000057,SKU_COI_0036,CUST_1378,2023-09-12,59,59,2023-09-23,Completed,North
ORD_000058,SKU_PIP_0007,CUST_1954,2022-08-07,59,0,,Cancelled,West
ORD_000059,SKU_SHE_0020,CUST_1486,2023-11-25,96,0,,Cancelled,Mumbai
ORD_000060,SKU_SHE_0018,CUST_1943,2023-12-11,137,137,2023-12-14,Completed,North
ORD_000061,SKU_FIT_0045,CUST_1387,2023-03-02,70,70,2023-03-12,Completed,East
ORD_000062,SKU_SHE_0025,CUST_1639,2022-08-25,237,237,2022-08-31,Completed,West
ORD_000063,SKU_FIT_0044,CUST_1109,2022-07-03,197,197,2022-07-11,Completed,East
ORD_000064,SKU_PIP_0013,CUST_1497,2023-08-22,212,212,2023-08-26,Completed,East
ORD_000065,SKU_SHE_0019,CUST_1504,2022-04-28,240,240,2022-05-11,Completed,West
ORD_000066,SKU_PIP_0009,CUST_1017,2022-10-10,291,291,2022-10-16,Completed,East
ORD_000067,SKU_SHE_0017,CUST_1837,2023-02-27,259,259,2023-03-12,Completed,North
ORD_000068,SKU_FIT_0039,CUST_1548,2023-02-28,222,222,2023-03-11,Completed,Mumbai
ORD_000069,SKU_COI_0030,CUST_1204,2022-07-15,225,225,2022-07-21,Completed,East
ORD_000070,SKU_SHE_0024,CUST_1014,2022-05-26,219,0,,Cancelled,West
ORD_000071,SKU_SHE_0018,CUST_1529,2022-12-10,327,327,2022-12-13,Completed,North
ORD_000072,SKU_PIP_0015,CUST_1288,2022-09-09,58,14,2022-09-10,Pending,East
ORD_000073,SKU_SHE_0022,CUST_1795,2022-07-30,134,15,2022-07-31,Pending,Mumbai
ORD_000074,SKU_PIP_0001,CUST_1522,2022-02-16,172,172,2022-02-25,Completed,West
ORD_000075,SKU_SHE_0022,CUST_1146,2022-01-27,269,18,2022-01-28,Pending,South
ORD_000076,SKU_FIT_0044,CUST_1584,2023-04-24,211,211,2023-04-28,Completed,West
ORD_000077,SKU_FIT_0038,CUST_1955,2023-05-26,186,22,2023-05-29,Pending,East
ORD_000078,SKU_COI_0035,CUST_1594,2023-01-24,191,191,2023-01-30,Completed,West
ORD_000079,SKU_SHE_0025,CUST_1412,2022-07-23,206,206,2022-07-31,Completed,West
ORD_000080,SKU_FIT_0038,CUST_1311,2022-03-09,256,256,2022-03-12,Completed,North
ORD_000081,SKU_COI_0031,CUST_1140,2023-09-10,182,182,2023-09-22,Completed,West
ORD_000082,SKU_PIP_0012,CUST_1871,2023-10-20,315,315,2023-11-03,Completed,South
ORD_000083,SKU_SHE_0017,CUST_1196,2022-11-23,144,144,2022-11-28,Completed,West
ORD_000084,SKU_FIT_0039,CUST_1119,2023-11-05,321,321,2023-11-17,Completed,East
ORD_000085,SKU_COI_0034,CUST_1556,2022-03-19,119,27,2022-03-22,Pending,East
ORD_000086,SKU_SHE_0022,CUST_1854,2022-03-15,100,100,2022-03-29,Completed,Mumbai
ORD_000087,SKU_FAS_0048,CUST_1657,2023-06-03,52,52,2023-06-09,Completed,South
ORD_000088,SKU_FIT_0039,CUST_1600,2023-06-13,85,85,2023-06-20,Completed,South
ORD_000089,SKU_PIP_0009,CUST_1731,2023-12-18,338,338,2023-12-26,Completed,West
ORD_000090,SKU_SHE_0024,CUST_1955,2023-04-28,52,52,2023-05-05,Completed,East
ORD_000091,SKU_COI_0031,CUST_1056,2023-09-12,266,114,2023-09-14,Pending,Mumbai
ORD_000092,SKU_SHE_0027,CUST_1262,2023-02-24,281,281,2023-02-27,Completed,North
ORD_000093,SKU_PIP_0002,CUST_1761,2023-08-12,194,194,2023-08-26,Completed,East
ORD_000094,SKU_SHE_0026,CUST_1534,2023-01-02,156,22,2023-01-04,Pending,West
ORD_000095,SKU_SHE_0024,CUST_1581,2022-03-25,152,0,,Cancelled,North
ORD_000096,SKU_FIT_0045,CUST_1268,2023-06-09,143,143,2023-06-20,Completed,Mumbai
ORD_000097,SKU_COI_0035,CUST_1259,2023-06-01,226,226,2023-06-10,Completed,Mumbai
ORD_000098,SKU_PIP_0010,CUST_1874,2022-04-26,211,211,2022-05-09,Completed,Mumbai
ORD_000099,SKU_PIP_0007,CUST_1066,2022-03-11,90,90,2022-03-17,Completed,North
ORD_000100,SKU_COI_0034,CUST_1946,2023-04-09,202,202,2023-04-18,Completed,North
ORD_000101,SKU_FIT_0045,CUST_1395,2022-11-22,226,226,2022-11-30,Completed,South
ORD_000102,SKU_SHE_0022,CUST_1852,2023-08-24,108,108,2023-09-03,Completed,Mumbai
ORD_000103,SKU_FAS_0049,CUST_1052,2022-10-16,92,11,2022-10-18,Pending,Mumbai
ORD_000104,SKU_COI_0037,CUST_1478,2023-04-24,113,113,2023-05-06,Completed,East
ORD_000105,SKU_FAS_0048,CUST_1300,2022-03-23,136,136,2022-03-31,Completed,East
ORD_000106,SKU_COI_0034,CUST_1668,2023-05-29,143,143,2023-06-11,Completed,Mumbai
ORD_000107,SKU_COI_0028,CUST_1181,2022-10-28,256,256,2022-11-10,Completed,South
ORD_000108,SKU_FIT_0045,CUST_1923,2022-05-08,56,56,2022-05-15,Completed,East
ORD_000109,SKU_FIT_0038,CUST_1453,2023-04-16,269,269,2023-04-28,Completed,East
ORD_000110,SKU_PIP_0009,CUST_1576,2022-12-15,300,300,2022-12-20,Completed,West
ORD_000111,SKU_PIP_0003,CUST_1064,2022-01-29,165,165,2022-02-06,Completed,South
ORD_000112,SKU_PIP_0011,CUST_1411,2022-01-21,88,0,,Cancelled,South
ORD_000113,SKU_SHE_0027,CUST_1164,2022-04-21,131,33,2022-04-24,Pending,West
ORD_000114,SKU_FIT_0039,CUST_1897,2022-10-08,119,119,2022-10-13,Completed,East
ORD_000115,SKU_PIP_0002,CUST_1210,2022-05-06,285,285,2022-05-18,Completed,Mumbai
ORD_000116,SKU_PIP_0009,CUST_1258,2022-07-07,237,0,,Cancelled,South
ORD_000117,SKU_FAS_0050,CUST_1076,2023-11-07,383,0,,Cancelled,North
ORD_000118,SKU_PIP_0003,CUST_1970,2023-01-24,287,107,2023-01-26,Pending,West
ORD_000119,SKU_SHE_0026,CUST_1584,2022-09-18,64,64,2022-09-21,Completed,Mumbai
ORD_000120,SKU_PIP_0003,CUST_1948,2022-02-16,144,0,,Cancelled,East
ORD_000121,SKU_SHE_0021,CUST_1834,2023-03-14,204,24,2023-03-17,Pending,North
ORD_000122,SKU_PIP_0011,CUST_1456,2023-09-01,166,166,2023-09-09,Completed,Mumbai
ORD_000123,SKU_PIP_0008,CUST_1371,2023-03-24,297,297,2023-04-05,Completed,South
ORD_000124,SKU_COI_0029,CUST_1777,2022-09-28,143,41,2022-10-02,Pending,West
ORD_000125,SKU_SHE_0020,CUST_1365,2023-07-03,114,0,,Cancelled,North
ORD_000126,SKU_FIT_0040,CUST_1093,2023-09-06,205,205,2023-09-13,Completed,North
ORD_000127,SKU_PIP_0009,CUST_1249,2023-05-26,140,140,2023-06-07,Completed,Mumbai
ORD_000128,SKU_FAS_0049,CUST_1939,2022-08-08,102,102,2022-08-15,Completed,South
ORD_000129,SKU_PIP_0007,CUST_1042,2023-11-07,200,200,2023-11-11,Completed,North
ORD_000130,SKU_PIP_0009,CUST_1885,2022-05-09,136,136,2022-05-15,Completed,North
ORD_000131,SKU_PIP_0003,CUST_1006,2023-09-29,107,107,2023-10-03,Completed,South
ORD_000132,SKU_SHE_0018,CUST_1599,2022-01-02,253,253,2022-01-08,Completed,West
ORD_000133,SKU_PIP_0001,CUST_1961,2022-07-28,151,151,2022-08-08,Completed,East
ORD_000134,SKU_FAS_0046,CUST_1823,2022-11-27,344,344,2022-12-11,Completed,Mumbai
ORD_000135,SKU_SHE_0026,CUST_1845,2023-03-25,73,73,2023-03-30,Completed,West
ORD_000136,SKU_COI_0036,CUST_1976,2022-01-16,108,108,2022-01-24,Completed,North
ORD_000137,SKU_COI_0034,CUST_1779,2023-12-06,166,166,2023-12-12,Completed,East
ORD_000138,SKU_PIP_0005,CUST_1483,2023-02-01,187,187,2023-02-05,Completed,North
ORD_000139,SKU_FIT_0042,CUST_1178,2022-08-03,210,210,2022-08-08,Completed,West
ORD_000140,SKU_PIP_0007,CUST_1049,2023-06-22,178,178,2023-06-26,Completed,North
ORD_000141,SKU_PIP_0007,CUST_1928,2023-10-06,89,89,2023-10-12,Completed,West
ORD_000142,SKU_PIP_0013,CUST_1001,2022-07-07,89,89,2022-07-15,Completed,West
ORD_000143,SKU_SHE_0025,CUST_1592,2023-08-18,96,96,2023-08-23,Completed,East
ORD_000144,SKU_FIT_0045,CUST_1372,2022-12-23,299,299,2022-12-29,Completed,West
ORD_000145,SKU_SHE_0018,CUST_1434,2023-04-09,218,218,2023-04-13,Completed,Mumbai
ORD_000146,SKU_COI_0036,CUST_1384,2023-09-07,96,96,2023-09-15,Completed,South
ORD_000147,SKU_SHE_0021,CUST_1785,2022-12-02,308,308,2022-12-13,Completed,North
ORD_000148,SKU_COI_0037,CUST_1514,2022-06-25,243,243,2022-06-28,Completed,East
ORD_000149,SKU_FIT_0039,CUST_1954,2023-05-10,228,12,2023-05-13,Pending,East
ORD_000150,SKU_COI_0037,CUST_1594,2023-10-18,235,235,2023-10-27,Completed,West
ORD_000151,SKU_COI_0035,CUST_1389,2022-12-03,388,0,,Cancelled,South
ORD_000152,SKU_FIT_0043,CUST_1849,2022-03-10,94,94,2022-03-13,Completed,North
ORD_000153,SKU_COI_0036,CUST_1100,2023-10-20,75,75,2023-10-24,Completed,North
ORD_000154,SKU_PIP_0015,CUST_1390,2023-09-24,219,219,2023-09-30,Completed,South
ORD_000155,SKU_FAS_0050,CUST_1441,2022-06-21,238,238,2022-06-26,Completed,East
ORD_000156,SKU_FAS_0050,CUST_1062,2022-11-16,196,196,2022-11-20,Completed,South
ORD_000157,SKU_SHE_0020,CUST_1570,2022-04-22,266,10,2022-04-25,Pending,North
ORD_000158,SKU_COI_0028,CUST_1052,2023-06-04,79,24,2023-06-05,Pending,Mumbai
ORD_000159,SKU_PIP_0009,CUST_1234,2022-02-01,82,82,2022-02-05,Completed,West
ORD_000160,SKU_COI_0029,CUST_1643,2023-04-19,234,234,2023-04-30,Completed,South
ORD_000161,SKU_PIP_0002,CUST_1062,2023-05-30,223,223,2023-06-04,Completed,Mumbai
ORD_000162,SKU_FIT_0039,CUST_1300,2023-11-06,135,135,2023-11-10,Completed,Mumbai
ORD_000163,SKU_FIT_0041,CUST_1172,2023-07-30,68,68,2023-08-03,Completed,South
ORD_000164,SKU_PIP_0013,CUST_1622,2023-08-04,90,90,2023-08-16,Completed,East
ORD_000165,SKU_SHE_0025,CUST_1162,2022-10-13,156,156,2022-10-21,Completed,East
ORD_000166,SKU_PIP_0013,CUST_1515,2022-01-26,106,22,2022-01-29,Pending,West
ORD_000167,SKU_FAS_0049,CUST_1810,2023-12-17,377,377,2023-12-30,Completed,South
ORD_000168,SKU_SHE_0026,CUST_1658,2023-08-20,126,126,2023-09-03,Completed,Mumbai
ORD_000169,SKU_COI_0030,CUST_1626,2023-05-06,174,174,2023-05-16,Completed,South
ORD_000170,SKU_FAS_0047,CUST_1329,2022-04-25,69,69,2022-04-30,Completed,Mumbai
ORD_000171,SKU_PIP_0011,CUST_1719,2022-11-24,338,338,2022-12-04,Completed,South
ORD_000172,SKU_SHE_0027,CUST_1702,2022-03-24,177,177,2022-04-02,Completed,West
ORD_000173,SKU_FIT_0041,CUST_1801,2022-08-17,221,221,2022-08-26,Completed,South
ORD_000174,SKU_COI_0032,CUST_1524,2022-03-13,182,182,2022-03-20,Completed,Mumbai
ORD_000175,SKU_FAS_0049,CUST_1282,2022-05-13,71,71,2022-05-27,Completed,North
ORD_000176,SKU_FIT_0043,CUST_1791,2022-01-18,291,291,2022-01-30,Completed,Mumbai
ORD_000177,SKU_FIT_0039,CUST_1929,2023-10-28,292,292,2023-11-05,Completed,South
ORD_000178,SKU_FAS_0049,CUST_1646,2023-07-12,84,84,2023-07-22,Completed,South
ORD_000179,SKU_SHE_0027,CUST_1425,2022-03-13,269,269,2022-03-22,Completed,Mumbai
ORD_000180,SKU_PIP_0006,CUST_1974,2022-05-30,295,0,,Cancelled,West
ORD_000181,SKU_COI_0035,CUST_1910,2022-10-05,130,130,2022-10-14,Completed,South
ORD_000182,SKU_SHE_0025,CUST_1653,2023-12-26,366,366,2024-01-04,Completed,East
ORD_000183,SKU_PIP_0009,CUST_1079,2022-02-21,179,83,2022-02-23,Pending,South
ORD_000184,SKU_COI_0035,CUST_1742,2022-05-11,283,0,,Cancelled,North
ORD_000185,SKU_SHE_0019,CUST_1323,2022-07-29,129,129,2022-08-12,Completed,Mumbai
ORD_000186,SKU_PIP_0003,CUST_1651,2022-05-01,143,143,2022-05-04,Completed,East
ORD_000187,SKU_COI_0028,CUST_1575,2022-01-29,259,259,2022-02-09,Completed,South
ORD_000188,SKU_COI_0037,CUST_1173,2023-12-21,292,292,2023-12-29,Completed,West
ORD_000189,SKU_PIP_0011,CUST_1503,2022-06-23,66,66,2022-07-01,Completed,West
ORD_000190,SKU_COI_0031,CUST_1554,2022-10-26,334,161,2022-10-30,Pending,East
ORD_000191,SKU_PIP_0002,CUST_1664,2022-08-03,97,97,2022-08-08,Completed,South
ORD_000192,SKU_COI_0029,CUST_1195,2023-05-21,127,127,2023-05-24,Completed,Mumbai
ORD_000193,SKU_PIP_0003,CUST_1502,2023-01-28,87,35,2023-01-29,Pending,East
ORD_000194,SKU_FIT_0042,CUST_1379,2022-07-17,251,60,2022-07-18,Pending,North
ORD_000195,SKU_FIT_0040,CUST_1506,2022-03-17,280,28,2022-03-19,Pending,Mumbai
ORD_000196,SKU_PIP_0009,CUST_1085,2022-09-24,118,118,2022-09-27,Completed,South
ORD_000197,SKU_SHE_0024,CUST_1927,2023-11-04,280,280,2023-11-11,Completed,East
ORD_000198,SKU_COI_0028,CUST_1956,2022-01-31,60,60,2022-02-04,Completed,North
ORD_000199,SKU_SHE_0027,CUST_1739,2022-01-02,152,152,2022-01-14,Completed,Mumbai
ORD_000200,SKU_FIT_0045,CUST_1341,2022-01-20,110,110,2022-01-24,Completed,North
ORD_000201,SKU_PIP_0002,CUST_1633,2022-01-26,247,247,2022-01-31,Completed,North
ORD_000202,SKU_PIP_0001,CUST_1819,2022-01-13,196,196,2022-01-24,Completed,North
ORD_000203,SKU_COI_0035,CUST_1332,2023-08-29,45,45,2023-09-07,Completed,Mumbai
ORD_000204,SKU_FAS_0047,CUST_1950,2023-01-22,173,0,,Cancelled,Mumbai
ORD_000205,SKU_SHE_0024,CUST_1104,2022-06-10,211,211,2022-06-16,Completed,West
ORD_000206,SKU_SHE_0016,CUST_1498,2022-11-28,330,141,2022-11-30,Pending,West
ORD_000207,SKU_PIP_0009,CUST_2000,2023-05-13,264,264,2023-05-27,Completed,East
ORD_000208,SKU_COI_0032,CUST_1527,2022-11-21,341,341,2022-12-03,Completed,South
ORD_000209,SKU_FAS_0049,CUST_1146,2023-05-31,139,139,2023-06-09,Completed,East
ORD_000210,SKU_SHE_0026,CUST_1978,2023-06-25,170,49,2023-06-26,Pending,North
ORD_000211,SKU_SHE_0021,CUST_1401,2022-10-06,137,137,2022-10-18,Completed,Mumbai
ORD_000212,SKU_SHE_0020,CUST_1158,2023-11-24,197,197,2023-11-28,Completed,North
ORD_000213,SKU_FIT_0039,CUST_1488,2023-06-14,103,103,2023-06-22,Completed,North
ORD_000214,SKU_SHE_0019,CUST_1731,2022-11-22,358,358,2022-11-26,Completed,West
ORD_000215,SKU_SHE_0025,CUST_1708,2022-07-21,116,0,,Cancelled,East
ORD_000216,SKU_SHE_0016,CUST_1218,2023-03-21,271,271,2023-03-30,Completed,East
ORD_000217,SKU_SHE_0016,CUST_1424,2023-06-08,71,71,2023-06-12,Completed,East
ORD_000218,SKU_COI_0036,CUST_1785,2022-10-15,117,117,2022-10-28,Completed,West
ORD_000219,SKU_SHE_0025,CUST_1066,2023-10-11,183,183,2023-10-19,Completed,East
ORD_000220,SKU_SHE_0020,CUST_1966,2022-04-13,274,274,2022-04-20,Completed,Mumbai
ORD_000221,SKU_COI_0034,CUST_1943,2023-04-08,286,28,2023-04-10,Pending,South
ORD_000222,SKU_COI_0031,CUST_1984,2022-11-11,353,353,2022-11-14,Completed,West
ORD_000223,SKU_FAS_0048,CUST_1024,2022-04-19,240,0,,Cancelled,North
ORD_000224,SKU_COI_0032,CUST_1628,2022-12-04,206,206,2022-12-16,Completed,North
ORD_000225,SKU_COI_0035,CUST_1320,2022-07-01,131,131,2022-07-08,Completed,West
ORD_000226,SKU_COI_0035,CUST_1235,2023-03-09,289,289,2023-03-18,Completed,East
ORD_000227,SKU_PIP_0012,CUST_1527,2023-02-19,220,220,2023-02-23,Completed,East
ORD_000228,SKU_SHE_0026,CUST_1364,2022-05-10,133,133,2022-05-16,Completed,South
ORD_000229,SKU_FIT_0038,CUST_1791,2022-02-28,139,139,2022-03-14,Completed,South
ORD_000230,SKU_PIP_0008,CUST_1413,2022-05-19,278,13,2022-05-21,Pending,South
ORD_000231,SKU_COI_0035,CUST_1905,2023-04-28,188,188,2023-05-12,Completed,East
ORD_000232,SKU_FIT_0039,CUST_1078,2023-02-16,124,124,2023-02-23,Completed,South
ORD_000233,SKU_FIT_0043,CUST_1015,2022-07-30,82,6,2022-08-03,Pending,South
ORD_000234,SKU_SHE_0023,CUST_1141,2022-03-10,53,53,2022-03-20,Completed,North
ORD_000235,SKU_COI_0035,CUST_1101,2023-10-23,305,305,2023-11-02,Completed,East
ORD_000236,SKU_FAS_0049,CUST_1512,2023-07-09,122,122,2023-07-17,Completed,East
ORD_000237,SKU_PIP_0012,CUST_1612,2022-01-12,286,286,2022-01-21,Completed,Mumbai
ORD_000238,SKU_SHE_0017,CUST_1480,2023-10-09,352,0,,Cancelled,West
ORD_000239,SKU_COI_0030,CUST_1977,2023-02-20,287,287,2023-03-02,Completed,East
ORD_000240,SKU_SHE_0018,CUST_1856,2022-08-17,143,143,2022-08-21,Completed,East
ORD_000241,SKU_SHE_0022,CUST_1758,2022-01-24,114,0,,Cancelled,West
ORD_000242,SKU_FIT_0043,CUST_1668,2023-01-15,248,248,2023-01-19,Completed,East
ORD_000243,SKU_SHE_0022,CUST_1746,2023-11-06,214,0,,Cancelled,West
ORD_000244,SKU_SHE_0018,CUST_1206,2023-04-11,269,269,2023-04-23,Completed,Mumbai
ORD_000245,SKU_PIP_0008,CUST_1900,2023-04-20,149,59,2023-04-22,Pending,South
ORD_000246,SKU_COI_0037,CUST_1738,2022-01-07,176,176,2022-01-16,Completed,West
ORD_000247,SKU_PIP_0014,CUST_1053,2023-05-01,181,181,2023-05-15,Completed,North
ORD_000248,SKU_PIP_0007,CUST_1742,2023-10-30,319,319,2023-11-11,Completed,South
ORD_000249,SKU_SHE_0020,CUST_1595,2022-08-28,147,147,2022-09-02,Completed,Mumbai
ORD_000250,SKU_PIP_0007,CUST_1366,2022-10-17,201,201,2022-10-28,Completed,East
ORD_000251,SKU_SHE_0018,CUST_1041,2022-06-22,240,240,2022-07-06,Completed,North
ORD_000252,SKU_SHE_0019,CUST_1039,2022-04-29,128,128,2022-05-09,Completed,South
ORD_000253,SKU_PIP_0004,CUST_1147,2022-10-11,340,340,2022-10-14,Completed,South
ORD_000254,SKU_SHE_0019,CUST_1798,2022-01-22,52,52,2022-01-26,Completed,East
ORD_000255,SKU_FAS_0048,CUST_1770,2023-12-17,133,22,2023-12-21,Pending,Mumbai
ORD_000256,SKU_COI_0030,CUST_1258,2023-12-14,208,208,2023-12-17,Completed,South
ORD_000257,SKU_COI_0034,CUST_1236,2022-07-02,211,211,2022-07-16,Completed,North
ORD_000258,SKU_FAS_0047,CUST_1006,2022-08-24,149,41,2022-08-27,Pending,North
ORD_000259,SKU_FIT_0043,CUST_1500,2022-10-16,115,115,2022-10-19,Completed,North
ORD_000260,SKU_FIT_0042,CUST_1610,2022-05-17,169,169,2022-05-21,Completed,Mumbai
ORD_000261,SKU_SHE_0020,CUST_1754,2022-10-08,150,150,2022-10-17,Completed,South
ORD_000262,SKU_FAS_0046,CUST_1278,2023-10-13,292,292,2023-10-26,Completed,East
ORD_000263,SKU_FAS_0049,CUST_1302,2022-02-07,185,185,2022-02-20,Completed,West
ORD_000264,SKU_FIT_0040,CUST_1546,2022-03-20,285,126,2022-03-22,Pending,West
ORD_000265,SKU_SHE_0016,CUST_1733,2022-01-09,82,0,,Cancelled,Mumbai
ORD_000266,SKU_PIP_0013,CUST_1405,2023-11-29,174,174,2023-12-07,Completed,East
ORD_000267,SKU_PIP_0013,CUST_1065,2022-10-03,137,137,2022-10-13,Completed,South
ORD_000268,SKU_PIP_0009,CUST_1369,2022-08-21,207,207,2022-09-02,Completed,North
ORD_000269,SKU_FAS_0049,CUST_1177,2022-08-05,51,51,2022-08-11,Completed,Mumbai
ORD_000270,SKU_SHE_0026,CUST_1718,2022-12-26,231,231,2023-01-01,Completed,Mumbai
ORD_000271,SKU_COI_0030,CUST_1780,2022-06-29,176,176,2022-07-08,Completed,West
ORD_000272,SKU_SHE_0016,CUST_1647,2022-01-22,270,0,,Cancelled,North
ORD_000273,SKU_COI_0029,CUST_1192,2022-04-13,189,189,2022-04-26,Completed,South
ORD_000274,SKU_FAS_0048,CUST_1090,2022-08-20,212,212,2022-08-29,Completed,West
ORD_000275,SKU_SHE_0025,CUST_1664,2023-03-04,194,194,2023-03-08,Completed,West
ORD_000276,SKU_SHE_0027,CUST_1655,2022-08-11,238,238,2022-08-17,Completed,South
ORD_000277,SKU_PIP_0012,CUST_1357,2023-12-14,93,0,,Cancelled,East
ORD_000278,SKU_SHE_0025,CUST_1333,2022-03-26,158,76,2022-03-29,Pending,Mumbai
ORD_000279,SKU_PIP_0013,CUST_1668,2022-10-26,179,179,2022-11-04,Completed,East
ORD_000280,SKU_FIT_0045,CUST_1679,2023-07-03,142,142,2023-07-13,Completed,North
ORD_000281,SKU_SHE_0027,CUST_1289,2022-12-03,118,118,2022-12-16,Completed,West
