PO_ID,Vendor_ID,SKU_ID,PO_Date,PO_Quantity,PO_Value,Status
PO_000069,VEN_0087,SKU_PIP_0010,2023-01-11,295,405111.7,Closed
PO_000070,VEN_0110,SKU_COI_0036,2022-07-28,208,542170.72,Closed
PO_000071,VEN_0223,SKU_COI_0036,2022-02-16,612,1890143.64,Delayed
PO_000072,VEN_0044,SKU_SHE_0026,2023-08-07,945,1870117.2,Delayed
PO_000073,VEN_0271,SKU_SHE_0019,2023-10-08,589,1140957.79,Closed
PO_000074,VEN_0037,SKU_SHE_0027,2022-12-08,488,753359.57,Closed
PO_000075,VEN_0133,SKU_FIT_0045,2022-12-04,165,166397.55,Delayed
PO_000076,VEN_0089,SKU_PIP_0003,2022-03-20,576,706863.79,Closed
PO_000077,VEN_0172,SKU_COI_0034,2023-06-05,377,781803.75,Closed
PO_000078,VEN_0076,SKU_COI_0029,2022-10-31,727,2281166.06,Closed
PO_000079,VEN_0115,SKU_PIP_0004,2022-08-16,345,364226.85,Closed
PO_000080,VEN_0028,SKU_FIT_0038,2023-08-30,869,752962.43,Closed
PO_000081,VEN_0187,SKU_FIT_0038,2023-02-04,708,569607.24,Closed
PO_000082,VEN_0015,SKU_PIP_0003,2022-01-26,133,147324.1,Closed
PO_000083,VEN_0119,SKU_FAS_0050,2022-03-12,751,225547.83,Delayed
PO_000084,VEN_0259,SKU_PIP_0011,2023-06-09,610,748939.7,Closed
PO_000085,VEN_0279,SKU_SHE_0024,2022-05-25,224,456762.88,Delayed
PO_000086,VEN_0300,SKU_FIT_0040,2023-01-17,477,510924.24,Delayed
PO_000087,VEN_0226,SKU_FAS_0046,2022-12-12,817,155499.61,Delayed
PO_000088,VEN_0083,SKU_FIT_0040,2022-07-12,622,579038.46,Closed
PO_000089,VEN_0086,SKU_PIP_0002,2023-11-11,969,977943.87,Delayed
PO_000090,VEN_0013,SKU_SHE_0017,2022-08-08,114,232588.84,Closed
PO_000091,VEN_0055,SKU_COI_0028,2023-07-19,975,2480614.5,Closed
PO_000092,VEN_0262,SKU_PIP_0003,2023-06-04,618,724957.26,Closed
PO_000093,VEN_0285,SKU_COI_0029,2022-05-31,796,2402520.63,Closed
PO_000094,VEN_0028,SKU_FIT_0038,2023-08-30,869,752962.43,Closed
PO_000095,VEN_0001,SKU_COI_0035,2023-03-06,538,1422213.76,Closed
PO_000096,VEN_0297,SKU_FAS_0047,2022-07-22,885,136741.35,Delayed
PO_000097,VEN_0295,SKU_SHE_0016,2022-07-20,583,1528765.92,Delayed
PO_000098,VEN_0268,SKU_FAS_0046,2022-11-04,519,98843.55,Closed
PO_000099,VEN_0044,SKU_SHE_0026,2023-08-07,945,1870117.2,Delayed
PO_000100,VEN_0161,SKU_FIT_0041,2022-10-06,782,554325.91,Delayed
PO_000101,VEN_0177,SKU_PIP_0011,2022-11-29,710,858808.9,Closed
PO_000102,VEN_0020,SKU_COI_0035,2023-12-06,217,509066.81,Closed
PO_000103,VEN_0285,SKU_COI_0037,2022-04-23,327,1056697.5,Closed
PO_000104,VEN_0193,SKU_SHE_0018,2023-01-13,545,1097576.04,Delayed
PO_000105,VEN_0065,SKU_COI_0028,2022-10-03,526,1224659.5,Closed
PO_000106,VEN_0020,SKU_PIP_0006,2023-06-04,133,247704.55,Closed
PO_000107,VEN_0193,SKU_PIP_0004,2022-10-07,639,664381.08,Closed
PO_000108,VEN_0181,SKU_FIT_0039,2023-08-25,562,385498.28,Closed
PO_000109,VEN_0026,SKU_SHE_0020,2023-12-22,529,1384498.8,Open
PO_000110,VEN_0112,SKU_PIP_0001,2022-09-18,300,306192.0,Closed
PO_000111,VEN_0001,SKU_COI_0035,2023-03-06,538,1422213.76,Closed
PO_000112,VEN_0160,SKU_PIP_0008,2022-08-02,556,873409.28,Closed
PO_000113,VEN_0152,SKU_FAS_0047,2022-01-23,900,143793.0,Closed
PO_000114,VEN_0103,SKU_FIT_0039,2022-01-09,656,466298.63,Closed
PO_000115,VEN_0288,SKU_FIT_0043,2023-01-17,175,94771.25,Closed
PO_000116,VEN_0147,SKU_PIP_0002,2023-05-18,409,409515.34,Closed
PO_000117,VEN_0029,SKU_FIT_0042,2022-12-19,736,676303.04,Closed
PO_000118,VEN_0254,SKU_SHE_0018,2022-07-27,621,1287804.96,Closed
PO_000119,VEN_0123,SKU_PIP_0002,2022-06-07,738,720634.86,Closed
PO_000120,VEN_0075,SKU_FIT_0044,2023-11-14,994,863974.86,Closed
PO_000121,VEN_0210,SKU_PIP_0012,2022-07-22,484,677145.04,Closed
PO_000122,VEN_0174,SKU_COI_0031,2023-12-12,308,569078.39,Closed
PO_000123,VEN_0291,SKU_COI_0029,2023-03-22,151,445542.97,Closed
PO_000124,VEN_0077,SKU_SHE_0026,2023-08-12,456,975785.28,Closed
PO_000125,VEN_0213,SKU_COI_0035,2022-12-17,528,1317000.96,Closed
PO_000126,VEN_0227,SKU_FAS_0048,2022-07-21,122,31335.7,Closed
PO_000127,VEN_0196,SKU_SHE_0022,2023-01-11,903,1543931.34,Delayed
PO_000128,VEN_0031,SKU_SHE_0017,2023-01-14,920,1832796.4,Closed
PO_000129,VEN_0150,SKU_PIP_0008,2022-09-28,980,1660547.9,Closed
PO_000130,VEN_0014,SKU_PIP_0013,2023-01-31,363,573140.7,Closed
PO_000131,VEN_0072,SKU_SHE_0023,2023-01-02,395,545601.65,Closed
PO_000132,VEN_0111,SKU_FIT_0040,2023-12-14,206,185593.0,Open
PO_000133,VEN_0073,SKU_PIP_0005,2022-08-31,697,892330.21,Closed
PO_000134,VEN_0190,SKU_SHE_0025,2022-03-27,315,625886.82,Closed
PO_000135,VEN_0161,SKU_PIP_0015,2023-11-21,779,930390.86,Closed
PO_000136,VEN_0122,SKU_SHE_0019,2022-10-15,314,627560.4,Delayed
PO_000137,VEN_0059,SKU_SHE_0026,2022-03-12,592,1223137.12,Closed
PO_000138,VEN_0075,SKU_FIT_0044,2023-11-14,994,863974.86,Closed
PO_000139,VEN_0116,SKU_SHE_0018,2023-03-18,851,1765348.44,Closed
PO_000140,VEN_0138,SKU_COI_0037,2022-07-08,136,443062.16,Closed
PO_000141,VEN_0295,SKU_SHE_0016,2022-07-20,583,1528765.92,Closed
PO_000142,VEN_0011,SKU_PIP_0013,2023-03-30,209,347349.64,Closed
PO_000143,VEN_0199,SKU_COI_0029,2023-09-06,241,668370.12,Closed
PO_000144,VEN_0294,SKU_COI_0028,2023-07-11,948,2129812.14,Delayed
PO_000145,VEN_0192,SKU_COI_0034,2022-12-17,142,290780.5,Delayed
PO_000146,VEN_0074,SKU_FAS_0047,2022-04-13,970,154069.18,Closed
PO_000147,VEN_0106,SKU_PIP_0007,2022-11-28,326,345794.72,Closed
PO_000148,VEN_0011,SKU_PIP_0013,2023-03-30,209,347349.64,Closed
PO_000149,VEN_0093,SKU_PIP_0004,2023-05-16,661,636406.18,Closed
PO_000150,VEN_0230,SKU_FIT_0042,2023-12-07,344,338568.24,Open
PO_000151,VEN_0190,SKU_PIP_0005,2022-08-19,683,1010238.96,Closed
PO_000152,VEN_0282,SKU_FIT_0038,2023-07-17,519,475517.76,Closed
PO_000153,VEN_0095,SKU_PIP_0003,2023-06-02,998,1104955.66,Closed
PO_000154,VEN_0114,SKU_PIP_0014,2023-12-23,264,512041.2,Open
PO_000155,VEN_0229,SKU_PIP_0013,2022-12-08,709,1039060.77,Delayed
PO_000156,VEN_0146,SKU_SHE_0018,2022-07-02,818,1694781.48,Closed
PO_000157,VEN_0004,SKU_FIT_0043,2022-09-07,212,112340.92,Closed
PO_000158,VEN_0123,SKU_PIP_0002,2022-06-07,738,720634.86,Closed
PO_000159,VEN_0280,SKU_SHE_0025,2022-02-22,318,565340.4,Closed
PO_000160,VEN_0111,SKU_SHE_0027,2022-09-30,579,901531.95,Closed
PO_000161,VEN_0281,SKU_FIT_0038,2023-01-13,271,243463.14,Closed
PO_000162,VEN_0157,SKU_PIP_0014,2023-11-21,807,1436645.61,Closed
PO_000163,VEN_0031,SKU_SHE_0017,2023-01-14,920,1832796.4,Closed
PO_000164,VEN_0137,SKU_SHE_0023,2022-01-29,642,853752.09,Closed
PO_000165,VEN_0300,SKU_COI_0035,2022-04-23,554,1266846.1,Closed
PO_000166,VEN_0295,SKU_SHE_0016,2022-07-20,583,1528765.92,Closed
PO_000167,VEN_0097,SKU_COI_0034,2022-10-17,967,1921422.32,Closed
PO_000168,VEN_0113,SKU_SHE_0025,2022-07-21,240,442149.6,Closed
PO_000169,VEN_0286,SKU_FAS_0050,2022-12-19,239,71960.51,Closed
PO_000170,VEN_0064,SKU_PIP_0005,2022-11-08,368,537158.56,Closed
PO_000171,VEN_0204,SKU_SHE_0026,2023-05-21,288,619982.53,Closed
PO_000172,VEN_0266,SKU_SHE_0018,2022-08-31,686,1398109.16,Delayed
PO_000173,VEN_0300,SKU_FIT_0040,2023-01-17,477,510924.24,Delayed
PO_000174,VEN_0180,SKU_FIT_0040,2022-04-18,944,887539.36,Closed
PO_000175,VEN_0244,SKU_PIP_0011,2023-10-03,417,451840.35,Closed
PO_000176,VEN_0075,SKU_FIT_0044,2023-11-14,994,863974.86,Closed
PO_000177,VEN_0275,SKU_PIP_0004,2022-11-29,565,642465.16,Delayed
PO_000178,VEN_0211,SKU_FAS_0049,2022-09-14,267,48822.14,Closed
PO_000179,VEN_0065,SKU_COI_0028,2022-10-03,526,1224659.5,Closed
PO_000180,VEN_0073,SKU_COI_0028,2023-03-29,718,1645196.48,Closed
PO_000181,VEN_0245,SKU_PIP_0001,2023-03-31,812,896236.79,Delayed
PO_000182,VEN_0134,SKU_PIP_0002,2023-01-28,464,439361.74,Delayed
PO_000183,VEN_0153,SKU_SHE_0016,2022-05-25,373,875810.36,Closed
PO_000184,VEN_0223,SKU_COI_0036,2022-02-16,612,1890143.64,Closed
PO_000185,VEN_0217,SKU_COI_0037,2023-02-23,112,350741.44,Closed
PO_000186,VEN_0222,SKU_FAS_0046,2023-03-07,995,193268.8,Delayed
PO_000187,VEN_0013,SKU_FAS_0050,2022-01-26,416,121596.8,Closed
PO_000188,VEN_0276,SKU_PIP_0013,2022-08-08,567,994053.06,Delayed
PO_000189,VEN_0217,SKU_COI_0037,2023-02-23,112,350741.44,Closed
PO_000190,VEN_0039,SKU_SHE_0025,2022-12-28,275,533194.75,Closed
PO_000191,VEN_0070,SKU_SHE_0016,2023-06-18,602,1581706.84,Closed
PO_000192,VEN_0289,SKU_SHE_0020,2022-06-25,419,982682.54,Closed
PO_000193,VEN_0014,SKU_SHE_0019,2022-03-12,926,1887925.22,Delayed
PO_000194,VEN_0190,SKU_PIP_0005,2022-08-19,683,1010238.96,Closed
PO_000195,VEN_0019,SKU_PIP_0007,2022-10-17,476,521881.64,Closed
PO_000196,VEN_0109,SKU_FIT_0043,2022-10-17,426,217174.8,Closed
PO_000197,VEN_0029,SKU_FIT_0042,2022-12-19,736,676303.04,Delayed
PO_000198,VEN_0063,SKU_COI_0029,2022-10-12,583,1862225.22,Delayed
PO_000199,VEN_0021,SKU_SHE_0018,2022-10-04,568,1188148.08,Closed
PO_000200,VEN_0099,SKU_FAS_0049,2023-07-01,433,85751.32,Closed
PO_000201,VEN_0205,SKU_FIT_0040,2022-08-01,770,800615.19,Closed
PO_000202,VEN_0166,SKU_SHE_0027,2023-07-02,211,364764.82,Delayed
PO_000203,VEN_0169,SKU_SHE_0027,2022-06-24,527,832301.64,Closed
PO_000204,VEN_0022,SKU_FIT_0039,2023-12-28,157,118863.57,Open
PO_000205,VEN_0050,SKU_SHE_0024,2023-11-24,107,251490.66,Delayed
PO_000206,VEN_0154,SKU_PIP_0007,2023-06-03,296,326542.67,Closed
PO_000207,VEN_0230,SKU_FIT_0042,2023-12-07,344,338568.24,Closed
PO_000208,VEN_0245,SKU_SHE_0022,2022-03-11,346,545742.34,Delayed
PO_000209,VEN_0088,SKU_FIT_0041,2023-01-24,778,636738.54,Delayed
PO_000210,VEN_0043,SKU_PIP_0010,2023-04-08,622,997967.9,Delayed
PO_000211,VEN_0121,SKU_PIP_0008,2023-04-24,739,1270480.08,Delayed
PO_000212,VEN_0082,SKU_PIP_0013,2023-06-20,267,433508.45,Closed
PO_000213,VEN_0278,SKU_FIT_0045,2023-04-22,941,960648.08,Closed
PO_000214,VEN_0032,SKU_PIP_0013,2022-06-10,131,230516.69,Closed
PO_000215,VEN_0285,SKU_COI_0034,2023-06-26,701,1692383.67,Closed
PO_000216,VEN_0052,SKU_FIT_0040,2022-07-26,739,688666.71,Closed
PO_000217,VEN_0236,SKU_PIP_0001,2023-02-03,227,256903.87,Delayed
PO_000218,VEN_0274,SKU_FAS_0050,2022-08-03,440,131639.2,Closed
PO_000219,VEN_0156,SKU_COI_0030,2022-03-25,944,2803151.36,Closed
PO_000220,VEN_0200,SKU_FAS_0047,2023-11-04,661,111550.36,Closed
PO_000221,VEN_0022,SKU_SHE_0022,2023-03-28,198,305595.18,Closed
PO_000222,VEN_0034,SKU_FIT_0041,2022-03-30,383,283699.59,Closed
PO_000223,VEN_0222,SKU_FAS_0046,2023-03-07,995,193268.8,Closed
PO_000224,VEN_0051,SKU_SHE_0016,2022-01-05,692,1907304.24,Closed
PO_000225,VEN_0180,SKU_FIT_0040,2022-04-18,944,887539.36,Closed
PO_000226,VEN_0246,SKU_PIP_0003,2022-07-13,380,466932.6,Delayed
PO_000227,VEN_0093,SKU_PIP_0006,2022-07-13,468,865846.8,Closed
PO_000228,VEN_0151,SKU_FAS_0049,2023-04-29,197,37900.83,Delayed
PO_000229,VEN_0215,SKU_COI_0028,2022-02-15,260,681634.2,Closed
PO_000230,VEN_0182,SKU_PIP_0013,2023-02-12,719,1094943.53,Closed
PO_000231,VEN_0214,SKU_FAS_0047,2023-01-11,257,39913.78,Delayed
PO_000232,VEN_0273,SKU_PIP_0015,2023-05-02,599,785492.66,Delayed
PO_000233,VEN_0024,SKU_FAS_0047,2023-09-16,161,26170.55,Closed
PO_000234,VEN_0120,SKU_PIP_0008,2023-10-01,968,1562352.0,Closed
PO_000235,VEN_0240,SKU_SHE_0017,2023-12-06,741,1486364.49,Closed
PO_000236,VEN_0159,SKU_COI_0035,2023-04-11,478,1227786.02,Closed
PO_000237,VEN_0261,SKU_FAS_0049,2023-01-05,329,61335.47,Closed
PO_000238,VEN_0262,SKU_PIP_0003,2023-06-04,618,724957.26,Closed
PO_000239,VEN_0175,SKU_SHE_0027,2023-09-20,601,964262.43,Closed
PO_000240,VEN_0274,SKU_COI_0035,2022-08-05,820,2163697.49,Closed
PO_000241,VEN_0215,SKU_COI_0028,2022-02-15,260,681634.2,Closed
PO_000242,VEN_0090,SKU_FIT_0042,2022-12-31,770,747109.27,Delayed
PO_000243,VEN_0205,SKU_SHE_0024,2023-04-14,819,1750997.43,Closed
PO_000244,VEN_0232,SKU_FIT_0039,2023-01-01,530,398432.8,Closed
PO_000245,VEN_0156,SKU_COI_0030,2022-03-25,944,2803151.36,Closed
PO_000246,VEN_0219,SKU_FIT_0043,2022-12-17,922,490033.78,Closed
PO_000247,VEN_0227,SKU_FAS_0048,2022-07-21,122,31335.7,Closed
PO_000248,VEN_0115,SKU_PIP_0004,2022-08-16,345,364226.85,Closed
PO_000249,VEN_0019,SKU_PIP_0007,2022-10-17,476,521881.64,Delayed
PO_000250,VEN_0246,SKU_PIP_0005,2023-10-12,407,585955.78,Closed
PO_000251,VEN_0277,SKU_FIT_0041,2023-11-05,420,308616.0,Closed
PO_000252,VEN_0139,SKU_FIT_0038,2022-03-24,686,600812.52,Closed
PO_000253,VEN_0213,SKU_SHE_0024,2023-03-04,450,996293.43,Closed
PO_000254,VEN_0064,SKU_PIP_0005,2022-11-08,368,537158.56,Closed
PO_000255,VEN_0272,SKU_FIT_0043,2022-03-28,252,120899.52,Delayed
PO_000256,VEN_0044,SKU_SHE_0026,2023-08-07,945,1870117.2,Delayed
PO_000257,VEN_0173,SKU_PIP_0013,2022-01-16,425,743184.75,Closed
PO_000258,VEN_0009,SKU_PIP_0015,2023-04-05,645,789357.45,Closed
PO_000259,VEN_0253,SKU_PIP_0008,2022-08-11,375,606840.73,Closed
PO_000260,VEN_0141,SKU_FIT_0039,2022-01-08,862,668075.86,Delayed
PO_000261,VEN_0112,SKU_PIP_0001,2022-09-18,300,306192.0,Closed
PO_000262,VEN_0014,SKU_PIP_0013,2023-01-31,363,573140.7,Closed
PO_000263,VEN_0274,SKU_FAS_0050,2022-08-03,440,131639.2,Delayed
PO_000264,VEN_0106,SKU_PIP_0007,2022-11-28,326,345794.72,Closed
PO_000265,VEN_0285,SKU_PIP_0006,2022-04-29,306,603275.94,Delayed
PO_000266,VEN_0030,SKU_SHE_0022,2022-06-05,729,1294090.05,Closed
PO_000267,VEN_0052,SKU_FIT_0040,2022-07-26,739,688666.71,Closed
PO_000268,VEN_0240,SKU_SHE_0017,2023-12-06,741,1486364.49,Closed
PO_000269,VEN_0244,SKU_PIP_0005,2023-08-30,688,1039010.85,Closed
PO_000270,VEN_0274,SKU_FAS_0048,2023-10-11,100,27671.17,Closed
PO_000271,VEN_0130,SKU_PIP_0014,2022-10-21,651,1289753.55,Closed
PO_000272,VEN_0203,SKU_PIP_0006,2023-06-10,607,1055016.15,Closed
PO_000273,VEN_0036,SKU_FAS_0046,2023-01-05,838,169519.02,Closed
PO_000274,VEN_0015,SKU_COI_0037,2022-06-04,585,1830473.57,Closed
PO_000275,VEN_0096,SKU_SHE_0023,2022-07-13,746,1100775.41,Closed
PO_000276,VEN_0206,SKU_PIP_0003,2023-07-09,583,737889.2,Closed
PO_000277,VEN_0022,SKU_SHE_0022,2023-03-28,198,305595.18,Closed
PO_000278,VEN_0019,SKU_PIP_0007,2022-10-17,476,521881.64,Closed
PO_000279,VEN_0282,SKU_SHE_0027,2023-11-09,889,1584030.95,Closed
PO_000280,VEN_0231,SKU_COI_0028,2022-08-05,486,1294835.22,Closed
PO_000281,VEN_0171,SKU_PIP_0012,2023-05-30,309,424159.81,Closed
PO_000282,VEN_0115,SKU_FIT_0039,2023-03-11,876,615212.65,Delayed
PO_000283,VEN_0247,SKU_COI_0031,2022-04-27,615,1351234.95,Closed
PO_000284,VEN_0095,SKU_PIP_0003,2023-06-02,998,1104955.66,Closed
PO_000285,VEN_0062,SKU_SHE_0022,2022-12-16,954,1462682.34,Closed
PO_000286,VEN_0153,SKU_PIP_0014,2022-11-18,542,1083880.76,Closed
PO_000287,VEN_0028,SKU_FIT_0038,2023-08-30,869,752962.43,Closed
PO_000288,VEN_0136,SKU_COI_0028,2023-11-25,787,1904461.3,Closed
PO_000289,VEN_0229,SKU_PIP_0013,2022-12-08,709,1039060.77,Closed
PO_000290,VEN_0228,SKU_SHE_0020,2022-07-18,183,494749.65,Closed
PO_000291,VEN_0228,SKU_SHE_0020,2022-07-18,183,494749.65,Delayed
PO_000292,VEN_0229,SKU_PIP_0013,2022-12-08,709,1039060.77,Closed
PO_000293,VEN_0195,SKU_FIT_0043,2023-09-18,784,410220.16,Delayed
PO_000294,VEN_0172,SKU_COI_0034,2023-06-05,377,781803.75,Closed
PO_000295,VEN_0171,SKU_SHE_0020,2022-07-21,995,2379970.35,Closed
PO_000296,VEN_0136,SKU_PIP_0002,2023-08-14,543,538320.13,Delayed
PO_000297,VEN_0187,SKU_FIT_0038,2023-02-04,708,569607.24,Delayed
PO_000298,VEN_0054,SKU_FAS_0047,2022-04-10,138,22707.1,Delayed
PO_000299,VEN_0202,SKU_COI_0029,2023-11-14,987,3294990.93,Closed
PO_000300,VEN_0123,SKU_PIP_0011,2023-06-02,120,146612.81,Delayed
PO_000301,VEN_0263,SKU_COI_0032,2023-07-11,558,1320244.74,Delayed
PO_000302,VEN_0274,SKU_FAS_0050,2022-08-03,440,131639.2,Delayed
PO_000303,VEN_0176,SKU_SHE_0020,2023-02-13,936,2532759.84,Closed
PO_000304,VEN_0271,SKU_SHE_0019,2023-10-08,589,1140957.79,Closed
PO_000305,VEN_0079,SKU_FAS_0048,2023-08-02,474,119263.14,Closed
PO_000306,VEN_0204,SKU_FIT_0040,2022-10-06,854,849977.66,Closed
PO_000307,VEN_0067,SKU_PIP_0009,2023-10-07,973,1878822.65,Closed
PO_000308,VEN_0107,SKU_PIP_0010,2022-09-14,300,460914.0,Closed
PO_000309,VEN_0040,SKU_FIT_0044,2022-01-13,511,509681.62,Closed
PO_000310,VEN_0180,SKU_FIT_0040,2022-04-18,944,887539.36,Closed
PO_000311,VEN_0239,SKU_SHE_0021,2022-09-30,972,1437170.04,Closed
PO_000312,VEN_0042,SKU_SHE_0020,2023-07-04,585,1529798.4,Closed
PO_000313,VEN_0134,SKU_FIT_0039,2022-11-13,813,635310.72,Closed
PO_000314,VEN_0103,SKU_FAS_0048,2023-09-14,924,231064.68,Closed
PO_000315,VEN_0208,SKU_PIP_0003,2022-07-09,824,963288.96,Closed
PO_000316,VEN_0100,SKU_FIT_0043,2023-05-10,241,109816.47,Closed
PO_000317,VEN_0216,SKU_FIT_0045,2022-10-20,649,723868.64,Closed
PO_000318,VEN_0046,SKU_FIT_0041,2022-02-05,354,279267.06,Closed
PO_000319,VEN_0047,SKU_SHE_0021,2023-04-09,425,723647.5,Delayed
PO_000320,VEN_0294,SKU_FIT_0038,2023-03-10,137,107683.68,Closed
PO_000321,VEN_0111,SKU_SHE_0027,2022-09-30,579,901531.95,Delayed
PO_000322,VEN_0143,SKU_FIT_0038,2022-07-08,785,709930.45,Closed
PO_000323,VEN_0122,SKU_SHE_0019,2022-10-15,314,627560.4,Closed
PO_000324,VEN_0085,SKU_SHE_0022,2023-09-19,536,866978.25,Closed
PO_000325,VEN_0270,SKU_SHE_0027,2022-01-08,716,1229629.76,Closed
PO_000326,VEN_0056,SKU_SHE_0019,2022-01-25,863,1877163.08,Closed
PO_000327,VEN_0230,SKU_FIT_0042,2023-12-07,344,338568.24,Closed
PO_000328,VEN_0107,SKU_PIP_0010,2022-09-14,300,460914.0,Delayed
